781@중학교기초IV-(4/5)@officer@장교, 관리[임원]
782@중학교기초IV-(4/5)@stranger@낮선 사람
783@중학교기초IV-(4/5)@statue@조각상
784@중학교기초IV-(4/5)@spirit@정신, 영혼
785@중학교기초IV-(4/5)@scenery@경치, 풍경
786@중학교기초IV-(4/5)@route@길, 노선
787@중학교기초IV-(4/5)@pole	@막대기[장대], 극
788@중학교기초IV-(4/5)@rubber@고무
789@중학교기초IV-(4/5)@structure@구조,구조물
790@중학교기초IV-(4/5)@root	@뿌리
791@중학교기초IV-(4/5)@schedule@일정[시간표], 예정하다
792@중학교기초IV-(4/5)@charge@요금, 책임, 청구하다
793@중학교기초IV-(4/5)@decrease@줄(이)다, 감소(하다)
794@중학교기초IV-(4/5)@review@복습하다, 검토(하다)
795@중학교기초IV-(4/5)@vote	@투표(하다)
796@중학교기초IV-(4/5)@patient@환자, 참을성 있는
797@중학교기초IV-(4/5)@attend@출석[참석]하다, 돌보다
798@중학교기초IV-(4/5)@discuss@토론[논의]하다
799@중학교기초IV-(4/5)@settle@해결하다, 정착하다
800@중학교기초IV-(4/5)@elect@(투표로)선출하다
801@중학교기초IV-(4/5)@achieve@이루다, 성취하다
802@중학교기초IV-(4/5)@appreciate@감사하다,가치를 깨닫다
803@중학교기초IV-(4/5)@brave@용감한
804@중학교기초IV-(4/5)@cheap@싼
805@중학교기초IV-(4/5)@classical@고전의
806@중학교기초IV-(4/5)@familiar	@친숙(익숙)한
807@중학교기초IV-(4/5)@unknown@미지[무명]의
808@중학교기초IV-(4/5)@uncomfortable@불편한
809@중학교기초IV-(4/5)@simply@단지, 간단히
810@중학교기초IV-(4/5)@anyway@어쨌든, 아무튼
811@중학교기초IV-(4/5)@captain@선장[기장], 주장
812@중학교기초IV-(4/5)@coast@해안, 연안
813@중학교기초IV-(4/5)@university@대학
814@중학교기초IV-(4/5)@bucket@양동이
815@중학교기초IV-(4/5)@cart	@짐마차, 손수레
816@중학교기초IV-(4/5)@cage	@새장, 우리
817@중학교기초IV-(4/5)@kite	@연
818@중학교기초IV-(4/5)@autumn@가을
819@중학교기초IV-(4/5)@breeze@산들바람, 미풍
820@중학교기초IV-(4/5)@choice@선택
821@중학교기초IV-(4/5)@miracle@기적
822@중학교기초IV-(4/5)@harvest@수확(하다)
823@중학교기초IV-(4/5)@hike	@도보 여행(하다)
824@중학교기초IV-(4/5)@tour	@관광 여행(하다)
825@중학교기초IV-(4/5)@offer@제의[제공](하다)
826@중학교기초IV-(4/5)@remain@~인 채로 있다, 남아있다
827@중학교기초IV-(4/5)@repair@고치다, 수리(하다)
828@중학교기초IV-(4/5)@bark	@짖다
829@중학교기초IV-(4/5)@	final@마지막의,결승,기말 시험
830@중학교기초IV-(4/5)@public@대중(의), 공공의
831@중학교기초IV-(4/5)@giant@거대한, 거인
832@중학교기초IV-(4/5)@bend	@구부리다
833@중학교기초IV-(4/5)@float@뜨다[띄우다], 떠다니다
834@중학교기초IV-(4/5)@concentrate@집중하다
835@중학교기초IV-(4/5)@handsome	@잘생긴
836@중학교기초IV-(4/5)@personal	@개인의
837@중학교기초IV-(4/5)@historic	@역사상 중요한
838@중학교기초IV-(4/5)@western@서쪽의, 서양의
839@중학교기초IV-(4/5)@forward@앞으로
840@중학교기초IV-(4/5)@exactly@정확하게
