421@중학교기초III-(3/5)@library	@도서관
422@중학교기초III-(3/5)@museum@박물관
423@중학교기초III-(3/5)@ocean@바다,대양
424@중학교기초III-(3/5)@bath@목욕
425@중학교기초III-(3/5)@pity@동정,유감스러운 일
426@중학교기초III-(3/5)@sentence@문장
427@중학교기초III-(3/5)@proverb	@격언,속담
428@중학교기초III-(3/5)@product	@생산품,제품
429@중학교기초III-(3/5)@invention@발명
430@중학교기초III-(3/5)@technology@과학기술
431@중학교기초III-(3/5)@trash@쓰레기
432@중학교기초III-(3/5)@moment@때,순간
433@중학교기초III-(3/5)@date@날짜,데이트
434@중학교기초III-(3/5)@taste@맛(이나다),취향
435@중학교기초III-(3/5)@balance@균형(을 잡다)
436@중학교기초III-(3/5)@ring@반지,종
437@중학교기초III-(3/5)@share@공유하다,나누다,몫
438@중학교기초III-(3/5)@return@되돌아가다,돌려주다
439@중학교기초III-(3/5)@lift@올리다,태우기
440@중학교기초III-(3/5)@raise@올리다,모금하다,기르다
441@중학교기초III-(3/5)@explain@설명하다
442@중학교기초III-(3/5)@marry@~와 결혼하다
443@중학교기초III-(3/5)@clear@명확한,깨끗이하다
444@중학교기초III-(3/5)@exciting@흥분시키는
445@중학교기초III-(3/5)@common@흔한,공통의,보통의
446@중학교기초III-(3/5)@global@전세계의,지구의
447@중학교기초III-(3/5)@safe@안전한
448@중학교기초III-(3/5)@terrible@끔찍한,지독한
449@중학교기초III-(3/5)@probably@아마
450@중학교기초III-(3/5)@else@그밖에
451@중학교기초III-(3/5)@peace@평화
452@중학교기초III-(3/5)@beauty@아름다움,미인
453@중학교기초III-(3/5)@sight@시력,시야,광경
454@중학교기초III-(3/5)@nation@국가,민족
455@중학교기초III-(3/5)@foreigner@외국인
456@중학교기초III-(3/5)@band@악단,밴드,띠
457@중학교기초III-(3/5)@magazine@잡지
458@중학교기초III-(3/5)@storm@폭풍우
459@중학교기초III-(3/5)@straw@짚,빨대
460@중학교기초III-(3/5)@disease@병
461@중학교기초III-(3/5)@respect	@존경(하다)
462@중학교기초III-(3/5)@reply@대답(하다)
463@중학교기초III-(3/5)@record@기록(하다),녹음하다
464@중학교기초III-(3/5)@cheer@환호(응원)하다
465@중학교기초III-(3/5)@shake@흔들다
466@중학교기초III-(3/5)@square@정사각형의,광장
467@중학교기초III-(3/5)@key	@열쇠,비결,중요한
468@중학교기초III-(3/5)@wake@잠에서 깨다
469@중학교기초III-(3/5)@discover@발견하다
470@중학교기초III-(3/5)@solve@풀다,해결하다
471@중학교기초III-(3/5)@continue@계속하다
472@중학교기초III-(3/5)@burn@불타다
473@중학교기초III-(3/5)@fresh@새로운,신선한
474@중학교기초III-(3/5)@simple@간단한,단순한
475@중학교기초III-(3/5)@quiet@조용한
476@중학교기초III-(3/5)@regular@규칙적인,보통의
477@중학교기초III-(3/5)@traditional@전통의
478@중학교기초III-(3/5)@international@국제의
479@중학교기초III-(3/5)@instead	@대신에
480@중학교기초III-(3/5)@suddenly@갑자기
