481@중학교기초III-(4/5)@pal@친구
482@중학교기초III-(4/5)@ghost@유령
483@중학교기초III-(4/5)@bone@뼈
484@중학교기초III-(4/5)@effect@노력
485@중학교기초III-(4/5)@wisdom@지혜
486@중학교기초III-(4/5)@fault@잘못, 결점
487@중학교기초III-(4/5)@flight@항공편, 비행
488@중학교기초III-(4/5)@zoo	@동물원
489@중학교기초III-(4/5)@candle@(양)초
490@중학교기초III-(4/5)@bottom@밑바닥
491@중학교기초III-(4/5)@mistake@실수(하다)
492@중학교기초III-(4/5)@trouble	@곤란[곤경],괴롭히다
493@중학교기초III-(4/5)@bat	@박쥐, 배트(로 치다)
494@중학교기초III-(4/5)@blow@불다, 강타[타격]
495@중학교기초III-(4/5)@flood@물로 뒤덮다, 홍수
496@중학교기초III-(4/5)@hurry@서두르다, 서두름
497@중학교기초III-(4/5)@treat@다루다,치료하다,대접하다
498@중학교기초III-(4/5)@express@표현하다, 속담
499@중학교기초III-(4/5)@breathe	@숨 쉬다, 호흡하다
500@중학교기초III-(4/5)@hate@몹시 싫어하다
501@중학교기초III-(4/5)@create@창조하다
502@중학교기초III-(4/5)@divide@나누다
503@중학교기초III-(4/5)@huge@거대한
504@중학교기초III-(4/5)@perfect@완전한[완벽한]
505@중학교기초III-(4/5)@sucessful@성공한
506@중학교기초III-(4/5)@amazing	@놀랄만한
507@중학교기초III-(4/5)@everyday@매일의, 일상의
508@중학교기초III-(4/5)@low	@낮은[낮게]
509@중학교기초III-(4/5)@alone@혼자(의),외로이
510@중학교기초III-(4/5)@inside@안(쪽)(에,의)
511@중학교기초III-(4/5)@creature@동물, 상상의 생명체
512@중학교기초III-(4/5)@fan	@팬[~광],선풍기[부채]
513@중학교기초III-(4/5)@army@육군, 군대
514@중학교기초III-(4/5)@charity@자선(단체)
515@중학교기초III-(4/5)@department@부(문)
516@중학교기초III-(4/5)@scene@장면, 현장
517@중학교기초III-(4/5)@memory@기억(력)
518@중학교기초III-(4/5)@recipy@조리법
519@중학교기초III-(4/5)@bar	@막대, 빗장, 술집
520@중학교기초III-(4/5)@wheel@바퀴
521@중학교기초III-(4/5)@kid@아이, 농담하다[놀리다]
522@중학교기초III-(4/5)@smoke@연기, 담배를 피우다
523@중학교기초III-(4/5)@favor@호의[친절], 선호하다
524@중학교기초III-(4/5)@trick@속임수, 속이다
525@중학교기초III-(4/5)@experiment@실험(하다)
526@중학교기초III-(4/5)@drop@떨어뜨리다, 방울
527@중학교기초III-(4/5)@press@누르다,강요하다,언론
528@중학교기초III-(4/5)@stick@붙(이),찌르다,막대기
529@중학교기초III-(4/5)@roll@구르다,말다,두루마리
530@중학교기초III-(4/5)@serve@시중들다, 봉사하다
531@중학교기초III-(4/5)@improve@개선하다, 향상되다
532@중학교기초III-(4/5)@realize	@깨닫다, 실현하다
533@중학교기초III-(4/5)@dry	@마른[건조한], 말리다
534@중학교기초III-(4/5)@complete@완전한, 완성하다
535@중학교기초III-(4/5)@lucky@행운의, 운 좋은
536@중학교기초III-(4/5)@natural@자연의, 자연스러운
537@중학교기초III-(4/5)@friendly@친절한, 친한
538@중학교기초III-(4/5)@cute@귀여운
539@중학교기초III-(4/5)@already@이미, 벌써
540@중학교기초III-(4/5)@especially@특히
