64@sentence-1@I'm SAM.@저는 샘입니다.
65@sentence-1@How old are you?@몇살 입니까?
66@sentence-1@What time is it now?@몇시인가요?
67@sentence-1@Good morning!@좋은 아침
68@sentence-1@Happy birthday to you!@생일 축하합니다
69@sentence-1@Merry christmas!@즐거운 성탄
70@sentence-1@What is your name?@이름이 무엇입니까?
71@sentence-1@Where are you from?@어디출신인가요?
72@sentence-1@Are you hungry?@배고픈가요?
73@sentence-1@This is chair.@이것은 의자입니다.
74@sentence-1@What is your dream?@당신의 꿈은 무엇인가요?
75@sentence-1@I am good at dancing.@나는 춤을 잘춥니다.
76@sentence-1@My name is JOHN.@내 이름은 존입니다.
