1@고교필수1200-(14/20)@refugee@(피)난민
2@고교필수1200-(14/20)@souvenir@기념품
3@고교필수1200-(14/20)@fountain@연못, 샘
4@고교필수1200-(14/20)@harbor@항구
5@고교필수1200-(14/20)@scent@향기
6@고교필수1200-(14/20)@blueprint@청사진
7@고교필수1200-(14/20)@affair@일, 사건
8@고교필수1200-(14/20)@justice@정의, 재판
9@고교필수1200-(14/20)@ambition@야망
10@고교필수1200-(14/20)@meditation@명상
11@고교필수1200-(14/20)@absence@부재
12@고교필수1200-(14/20)@triumph@승리감,승리하다
13@고교필수1200-(14/20)@wind@바람, 감다
14@고교필수1200-(14/20)@grasp@붙잡다
15@고교필수1200-(14/20)@foretell@예견하다
1@고교필수1200-(14/20)@mechanic@수리공
2@고교필수1200-(14/20)@accessory@부속물
3@고교필수1200-(14/20)@currency@화폐
4@고교필수1200-(14/20)@iceberg@빙산
5@고교필수1200-(14/20)@thermometer@온도계
6@고교필수1200-(14/20)@rod@막대
7@고교필수1200-(14/20)@portrait@초상화
8@고교필수1200-(14/20)@riddle@수수께끼
9@고교필수1200-(14/20)@shortcut@지름길
10@고교필수1200-(14/20)@tutor@강사
11@고교필수1200-(14/20)@draft@초안(을 만들다), 징병(하다)
12@고교필수1200-(14/20)@sweat@땀(을 흘리다)
13@고교필수1200-(14/20)@throne@왕위(에 오르다)
14@고교필수1200-(14/20)@retail@소매(로 팔다)
15@고교필수1200-(14/20)@giggle@킥킥웃다
1@고교필수1200-(14/20)@monk@수사
2@고교필수1200-(14/20)@referee@심판
3@고교필수1200-(14/20)@opponent@상대, 반대자
4@고교필수1200-(14/20)@bulb@전구
5@고교필수1200-(14/20)@attic@다락
6@고교필수1200-(14/20)@landfill@매립지
7@고교필수1200-(14/20)@mist@안개
8@고교필수1200-(14/20)@certificate@증명서
9@고교필수1200-(14/20)@flaw@결함
10@고교필수1200-(14/20)@mischief@장난, 해악
11@고교필수1200-(14/20)@paradox@역설
12@고교필수1200-(14/20)@proportion@비율
13@고교필수1200-(14/20)@remedy@치료법
14@고교필수1200-(14/20)@frown@눈살을 찌푸리다
15@고교필수1200-(14/20)@decay@썩다
1@고교필수1200-(14/20)@bride@신부
2@고교필수1200-(14/20)@co-worker@동료
3@고교필수1200-(14/20)@mustache@수염
4@고교필수1200-(14/20)@weed@잡초
5@고교필수1200-(14/20)@moss@이끼
6@고교필수1200-(14/20)@parcel@소포
7@고교필수1200-(14/20)@aisle@통로
8@고교필수1200-(14/20)@biography@생물학
9@고교필수1200-(14/20)@debt@빚, 부채
10@고교필수1200-(14/20)@liberty@자유
11@고교필수1200-(14/20)@zeal@열의
12@고교필수1200-(14/20)@superstition@미신
13@고교필수1200-(14/20)@flock@떼, 무리
14@고교필수1200-(14/20)@drip@물방울을 떨어뜨리다
15@고교필수1200-(14/20)@echo@메아리
