1@고교필수1200-(15/20)@bough@큰 가지
2@고교필수1200-(15/20)@dew@이슬
3@고교필수1200-(15/20)@beverage@음료
4@고교필수1200-(15/20)@cradle@요람
5@고교필수1200-(15/20)@cottage@오두막집
6@고교필수1200-(15/20)@dormitory@기숙사
7@고교필수1200-(15/20)@astronomy@천문학
8@고교필수1200-(15/20)@missile@미사일
9@고교필수1200-(15/20)@compensation@보상
10@고교필수1200-(15/20)@criterion@기준
11@고교필수1200-(15/20)@blunder@큰 실수
12@고교필수1200-(15/20)@scandal@추문
13@고교필수1200-(15/20)@suspicion@의심
14@고교필수1200-(15/20)@dispute@논쟁(하다)
15@고교필수1200-(15/20)@bang@꽝 닫다
1@고교필수1200-(15/20)@niece@조카딸
2@고교필수1200-(15/20)@bridegroom@신랑
3@고교필수1200-(15/20)@casualty@희생자
4@고교필수1200-(15/20)@beast@짐승
5@고교필수1200-(15/20)@ecology@생태학
6@고교필수1200-(15/20)@tag@꼬리표
7@고교필수1200-(15/20)@interval@간격
8@고교필수1200-(15/20)@margin@여백, 가장자리
9@고교필수1200-(15/20)@checkup@건강검진
10@고교필수1200-(15/20)@publicity@홍보, 주목
11@고교필수1200-(15/20)@coincidence@일치
12@고교필수1200-(15/20)@contradiction@모순, 반박
13@고교필수1200-(15/20)@caution@주의, 조심
14@고교필수1200-(15/20)@revenge@복수
15@고교필수1200-(15/20)@sneeze@재치기 하다
1@고교필수1200-(15/20)@spectacle@관객
2@고교필수1200-(15/20)@auditorium@청중
3@고교필수1200-(15/20)@patriot@애국자
4@고교필수1200-(15/20)@peasant@농부
5@고교필수1200-(15/20)@meadow@초지
6@고교필수1200-(15/20)@hay@건초더미
7@고교필수1200-(15/20)@kettle@주전자
8@고교필수1200-(15/20)@baggage@수화물
9@고교필수1200-(15/20)@basement@기초
10@고교필수1200-(15/20)@enrollment@등록
11@고교필수1200-(15/20)@compassion@동정
12@고교필수1200-(15/20)@moderation@절제
13@고교필수1200-(15/20)@reputation@평판
14@고교필수1200-(15/20)@scarcity@부족
15@고교필수1200-(15/20)@switch@전환(하다)
1@고교필수1200-(15/20)@thorn@가시
2@고교필수1200-(15/20)@banner@현수막
3@고교필수1200-(15/20)@pavement@포장도로
4@고교필수1200-(15/20)@outlook@전망
5@고교필수1200-(15/20)@conviction@신념
6@고교필수1200-(15/20)@ignorance@무지
7@고교필수1200-(15/20)@bliss@기쁨
8@고교필수1200-(15/20)@gratitude@감사
9@고교필수1200-(15/20)@boredom@지루함
10@고교필수1200-(15/20)@inflation@인플레이션
11@고교필수1200-(15/20)@foam@거품
12@고교필수1200-(15/20)@shed@흘리다
13@고교필수1200-(15/20)@confine@한정시키다
14@고교필수1200-(15/20)@diabetes@당뇨병
15@고교필수1200-(15/20)@flutter@퍼덕거리다
