1141@중학교기초V-(5/5)@career@직업, 경력
1142@중학교기초V-(5/5)@economy@경제
1143@중학교기초V-(5/5)@construction@건설
1144@중학교기초V-(5/5)@mood	@기분, 분위기
1145@중학교기초V-(5/5)@excitement@흥분
1146@중학교기초V-(5/5)@complaint@불평, 항의
1147@중학교기초V-(5/5)@invasion	@침략, 침해
1148@중학교기초V-(5/5)@container@용기[그릇]
1149@중학교기초V-(5/5)@ash@재
1150@중학교기초V-(5/5)@contact@접촉[연락](하다)
1151@중학교기초V-(5/5)@benefit@(이익)을 주다[얻다]
1152@중학교기초V-(5/5)@damage@손해[손상]시키다
1153@중학교기초V-(5/5)@supply@공급(품), 공급하다
1154@중학교기초V-(5/5)@demand@수요, 요구(하다)
1155@중학교기초V-(5/5)@lack	@부족(하다), 결핍(되다)
1156@중학교기초V-(5/5)@conflict@갈등, 대립[충돌]하다
1157@중학교기초V-(5/5)@chief@장[우두머리], 최고의
1158@중학교기초V-(5/5)@spin	@빠르게 돌(리)다
1159@중학교기초V-(5/5)@scratch@긁다, 할퀴다
1160@중학교기초V-(5/5)@suppose@추측하다, 가정하다
1161@중학교기초V-(5/5)@refer@언급하다,참조하다,가리키다
1162@중학교기초V-(5/5)@ruin	@망치다, 파멸시키다
1163@중학교기초V-(5/5)@rid@제거하다,벗어나게하다
1164@중학교기초V-(5/5)@tight@꽉 끼는, 팽팽한
1165@중학교기초V-(5/5)@brilliant@빛나는, 재기 넘치는
1166@중학교기초V-(5/5)@specific	@특정한, 구체적인
1167@중학교기초V-(5/5)@unusual@보통이 아닌, 별난
1168@중학교기초V-(5/5)@negative@부정적인
1169@중학교기초V-(5/5)@royal@왕의
1170@중학교기초V-(5/5)@partly@부분적으로, 일부
1171@중학교기초V-(5/5)@happiness@행복
1172@중학교기초V-(5/5)@freedom@자유
1173@중학교기초V-(5/5)@independence@독립
1174@중학교기초V-(5/5)@imagination@상상(력)
1175@중학교기초V-(5/5)@importance@중요(성)
1176@중학교기초V-(5/5)@speech@말, 연설
1177@중학교기초V-(5/5)@silence@침묵
1178@중학교기초V-(5/5)@invitation@초대
1179@중학교기초V-(5/5)@exhibition@전시(회)
1180@중학교기초V-(5/5)@sculpture@조각(품)
1181@중학교기초V-(5/5)@height@높이, 키
1182@중학교기초V-(5/5)@stage@단계, 무대
1183@중학교기초V-(5/5)@zone	@지대, 구역
1184@중학교기초V-(5/5)@forecast@예보(하다)
1185@중학교기초V-(5/5)@sink	@가라앉다, 개수대
1186@중학교기초V-(5/5)@extra@여분의, 추가의
1187@중학교기초V-(5/5)@advise@조언[충고]하다
1188@중학교기초V-(5/5)@recommend@추천하다, 조언하다
1189@중학교기초V-(5/5)@declare@선언하다, 신고하다
1190@중학교기초V-(5/5)@prove@증명하다, 판명되다
1191@중학교기초V-(5/5)@injure@상처를 입히다
1192@중학교기초V-(5/5)@connect@연결[접속]하다
1193@중학교기초V-(5/5)@weigh@무게가~이다
1194@중학교기초V-(5/5)@foggy@안개 낀
1195@중학교기초V-(5/5)@salty@짠
1196@중학교기초V-(5/5)@neat	@말끔한, 깔끔한
1197@중학교기초V-(5/5)@lazy	@게으른
1198@중학교기초V-(5/5)@loose@풀린, 헐거운
1199@중학교기초V-(5/5)@endangered@(멸종) 위기에 처한
1200@중학교기초V-(5/5)@recently	@요즈음, 최근
