241@중학교기초II-(4/5)@diary@일기
242@중학교기초II-(4/5)@cartoon@만화
243@중학교기초II-(4/5)@character@성격,인물,글자
244@중학교기초II-(4/5)@reason@이유,이성
245@중학교기초II-(4/5)@ground@땅,운동장
246@중학교기초II-(4/5)@community@공동체,지역사회
247@중학교기초II-(4/5)@event@사건,행사
248@중학교기초II-(4/5)@glass@유리잔
249@중학교기초II-(4/5)@toy@	장난감
250@중학교기초II-(4/5)@weight@무게,몸무게
251@중학교기초II-(4/5)@control@지배,통제하다
252@중학교기초II-(4/5)@step@걸음,단계,계단
253@중학교기초II-(4/5)@matter@문제,물질,중요하다
254@중학교기초II-(4/5)@match@시합,성냥,어울리다
255@중학교기초II-(4/5)@set@두다,놓다,세우다
256@중학교기초II-(4/5)@hold@잡고있다,개최하다
257@중학교기초II-(4/5)@pick	@따다,뽑다
258@중학교기초II-(4/5)@teach@가르치다
259@중학교기초II-(4/5)@agree@동의하다
260@중학교기초II-(4/5)@invent@발명하다
261@중학교기초II-(4/5)@finish@끝내다
262@중학교기초II-(4/5)@welcome@환영하다
263@중학교기초II-(4/5)@bright@빛나는,밝은
264@중학교기초II-(4/5)@smart@영리한
265@중학교기초II-(4/5)@wise	@현명한,슬기로운
266@중학교기초II-(4/5)@hungry@배고픈
267@중학교기초II-(4/5)@free	@자유로운,무료의
268@중학교기초II-(4/5)@fine	@좋은,훌륭한,잘
269@중학교기초II-(4/5)@still@여전히
270@중학교기초II-(4/5)@soon	@곧,일찍
