1@고교필수1200-(12/20)@colleague@동료
2@고교필수1200-(12/20)@closet@벽장
3@고교필수1200-(12/20)@aircraft@비행기
4@고교필수1200-(12/20)@bay@만
5@고교필수1200-(12/20)@voyage@항해
6@고교필수1200-(12/20)@biotechnology@생명공학
7@고교필수1200-(12/20)@budget@예산
8@고교필수1200-(12/20)@proof@증거
9@고교필수1200-(12/20)@affection@애정
10@고교필수1200-(12/20)@courtesy@예의범절
11@고교필수1200-(12/20)@viewpoint@관점
12@고교필수1200-(12/20)@defect@결점
13@고교필수1200-(12/20)@admission@인정
14@고교필수1200-(12/20)@compliment@칭찬
15@고교필수1200-(12/20)@nurture@양육하다
1@고교필수1200-(12/20)@celebrity@유명인
2@고교필수1200-(12/20)@autograph@친필,서명
3@고교필수1200-(12/20)@accountant@회계사
4@고교필수1200-(12/20)@profession@직업
5@고교필수1200-(12/20)@appliance@가전제품
6@고교필수1200-(12/20)@ceiling@천장
7@고교필수1200-(12/20)@cathedral@대성당
8@고교필수1200-(12/20)@canal@운하
9@고교필수1200-(12/20)@subscription@정기구독(료)
10@고교필수1200-(12/20)@criticism@비난,비평
11@고교필수1200-(12/20)@aggression@공격,침략
12@고교필수1200-(12/20)@beam@광선
13@고교필수1200-(12/20)@charm@매력
14@고교필수1200-(12/20)@highlight@강조하다
15@고교필수1200-(12/20)@halt@멈추다
1@고교필수1200-(12/20)@mammal@포유류
2@고교필수1200-(12/20)@warrior@전사
3@고교필수1200-(12/20)@republic@공화국
4@고교필수1200-(12/20)@spice@양념
5@고교필수1200-(12/20)@lumber@목재
6@고교필수1200-(12/20)@suburb@교외
7@고교필수1200-(12/20)@cemetery@묘지
8@고교필수1200-(12/20)@intersection@교차로(점)
9@고교필수1200-(12/20)@tuition@수업료
10@고교필수1200-(12/20)@yearbook@연감
11@고교필수1200-(12/20)@commerce@상업
12@고교필수1200-(12/20)@telecommunication@원격통신
13@고교필수1200-(12/20)@usage@사용법, 용례
14@고교필수1200-(12/20)@glow@빛나다
15@고교필수1200-(12/20)@wrinkle@주름
1@고교필수1200-(12/20)@personnel@인원
2@고교필수1200-(12/20)@journalist@언론인
3@고교필수1200-(12/20)@pulse@맥박
4@고교필수1200-(12/20)@sensation@감각
5@고교필수1200-(12/20)@sewage@하수 오물
6@고교필수1200-(12/20)@allowance@수당
7@고교필수1200-(12/20)@altitude@고도
8@고교필수1200-(12/20)@phenomenon@현상
9@고교필수1200-(12/20)@depression@우울증
10@고교필수1200-(12/20)@reconciliation@화해
11@고교필수1200-(12/20)@spear@창
12@고교필수1200-(12/20)@shield@방패
13@고교필수1200-(12/20)@breed@짝짓기
14@고교필수1200-(12/20)@bump@부딪치다
15@고교필수1200-(12/20)@spark@일으키다
