27@fruits@apple@사과
28@fruits@orange@오렌지
29@fruits@banana@바나나
30@fruits@pineapple@파인애플
31@fruits@grape@포도
32@fruits@tomato@토마토
33@fruits@mango@망고
34@fruits@kiwi@키위
35@fruits@pear@배
36@fruits@grapefruit@자몽
37@fruits@melon@멜론
38@fruits@watermelon@수박
39@fruits@strawberry@딸기
40@fruits@pulm@자두
41@fruits@tangerine@귤
42@fruits@peach@복숭아
43@fruits@persimmon@감
44@fruits@pomegranate@석류
45@fruits@cherry@체리 앵두
