1@중학교기초-(4/5)@nature@자연, 천성
2@중학교기초-(4/5)@restaurant@레스토랑, 식당
3@중학교기초-(4/5)@group@무리, 집단
4@중학교기초-(4/5)@habit@습관
5@중학교기초-(4/5)@culture@문화
6@중학교기초-(4/5)@information@정보
7@중학교기초-(4/5)@advertisement@광고
8@중학교기초-(4/5)@science@과학
9@중학교기초-(4/5)@gene@유전자
10@중학교기초-(4/5)@war@전쟁
11@중학교기초-(4/5)@middle@한가운데
12@중학교기초-(4/5)@store@가게, 비축하다
13@중학교기초-(4/5)@sound@소리, 들리다, 건전한
14@중학교기초-(4/5)@point@요점, 점수, 가리키다
15@중학교기초-(4/5)@land@땅, 육지, 착륙하다
16@중학교기초-(4/5)@clone@복제생물, 복제하다
17@중학교기초-(4/5)@turn@돌다, 차례, 회전
18@중학교기초-(4/5)@fly@날다, 파리
19@중학교기초-(4/5)@begin@시작하다
20@중학교기초-(4/5)@grow@성장하다, 기르다, 되다
21@중학교기초-(4/5)@believe@믿다
22@중학교기초-(4/5)@worry@걱정시키다
23@중학교기초-(4/5)@save@구하다, 저축하다, 절약하다
24@중학교기초-(4/5)@easy@쉬운, 편한
25@중학교기초-(4/5)@poor@가난한, 불쌍한
26@중학교기초-(4/5)@such@그러한
27@중학교기초-(4/5)@own@자신의, 소유하다
28@중학교기초-(4/5)@fast@빨리, 단단히
29@중학교기초-(4/5)@back@뒤, 등
30@중학교기초-(4/5)@always@늘, 언제나
