1@고교필수1200-(9/20)@minister@장관
2@고교필수1200-(9/20)@millionaire@백만장자
3@고교필수1200-(9/20)@assembly@의회
4@고교필수1200-(9/20)@germ@세균
5@고교필수1200-(9/20)@particle@입자
6@고교필수1200-(9/20)@tide@조류
7@고교필수1200-(9/20)@legend@전설
8@고교필수1200-(9/20)@masterpiece@걸작
9@고교필수1200-(9/20)@opinion@의견
10@고교필수1200-(9/20)@obstacle@장애(물)
11@고교필수1200-(9/20)@hardship@곤란
12@고교필수1200-(9/20)@farewell@작별
13@고교필수1200-(9/20)@funeral@장례식
14@고교필수1200-(9/20)@murder@살인
15@고교필수1200-(9/20)@burst@터지다
1@고교필수1200-(9/20)@ecosystem@생태계
2@고교필수1200-(9/20)@spacecraft@우주선
3@고교필수1200-(9/20)@comet@혜성
4@고교필수1200-(9/20)@chemistry@화학
5@고교필수1200-(9/20)@cooper@구리
6@고교필수1200-(9/20)@drawer@서랍
7@고교필수1200-(9/20)@council@위원회
8@고교필수1200-(9/20)@district@지역
9@고교필수1200-(9/20)@deed@행위
10@고교필수1200-(9/20)@fame@명성
11@고교필수1200-(9/20)@breakdown@붕괴
12@고교필수1200-(9/20)@dimension@공간
13@고교필수1200-(9/20)@flame@불꽃
14@고교필수1200-(9/20)@counsel@조언(하다)
15@고교필수1200-(9/20)@urge@주장하다
1@고교필수1200-(9/20)@workforce@노동력
2@고교필수1200-(9/20)@dynasty@왕조
3@고교필수1200-(9/20)@monster@괴물
4@고교필수1200-(9/20)@gym@체육관
5@고교필수1200-(9/20)@warehouse@창고
6@고교필수1200-(9/20)@avenue@거리
7@고교필수1200-(9/20)@volcano@화산
8@고교필수1200-(9/20)@basin@대야,접시
9@고교필수1200-(9/20)@barrier@장벽
10@고교필수1200-(9/20)@fee@요금
11@고교필수1200-(9/20)@triangle@삼각형
12@고교필수1200-(9/20)@fusion@결합
13@고교필수1200-(9/20)@trigger@방아쇠
14@고교필수1200-(9/20)@vow@맹세
15@고교필수1200-(9/20)@peel@껍질을 벗기다
1@고교필수1200-(9/20)@surgeon@외과의사
2@고교필수1200-(9/20)@sympathy@동정
3@고교필수1200-(9/20)@thirst@갈증
4@고교필수1200-(9/20)@territory@영토
5@고교필수1200-(9/20)@reunification@재통일
6@고교필수1200-(9/20)@storage@저장
7@고교필수1200-(9/20)@session@회기
8@고교필수1200-(9/20)@scholarship@장학금
9@고교필수1200-(9/20)@privilege@특권
10@고교필수1200-(9/20)@rival@경쟁자
11@고교필수1200-(9/20)@sponsor@후원자
12@고교필수1200-(9/20)@stem@줄기
13@고교필수1200-(9/20)@hook@고리
14@고교필수1200-(9/20)@harness@마구
15@고교필수1200-(9/20)@plot@줄거리, 음모
