1@고교필수1200-(5/20)@leisure@여가
2@고교필수1200-(5/20)@literature@문학
3@고교필수1200-(5/20)@privacy@사생활
4@고교필수1200-(5/20)@duty@임무, 세금
5@고교필수1200-(5/20)@poverty@가난
6@고교필수1200-(5/20)@policy@정책
7@고교필수1200-(5/20)@improvement@개선
8@고교필수1200-(5/20)@expectation@기대
9@고교필수1200-(5/20)@fantasy@환상, 공상영화
10@고교필수1200-(5/20)@destruction@파괴
11@고교필수1200-(5/20)@comfort@편안함, 위로(하다)
12@고교필수1200-(5/20)@regard@여기다, 간주하다, 존경
13@고교필수1200-(5/20)@swing@흔들리다
14@고교필수1200-(5/20)@manufacture@제조, 제조하다.
15@고교필수1200-(5/20)@misunderstand@오해하다.
1@고교필수1200-(5/20)@companion@친구
2@고교필수1200-(5/20)@destination@목적지
3@고교필수1200-(5/20)@aptitude@소질
4@고교필수1200-(5/20)@statue@지위, 신분
5@고교필수1200-(5/20)@means@수단, 재산
6@고교필수1200-(5/20)@religion@종교
7@고교필수1200-(5/20)@column@칼럼, 기둥
8@고교필수1200-(5/20)@carbon dioxide@이산화탄소
9@고교필수1200-(5/20)@shelter@머무르다, 거주지
10@고교필수1200-(5/20)@profit@이익,
11@고교필수1200-(5/20)@poison@독 중독시키다
12@고교필수1200-(5/20)@anger@화,
13@고교필수1200-(5/20)@thrill@흥분(시키다)
14@고교필수1200-(5/20)@conflict@갈등, 대립하다
15@고교필수1200-(5/20)@rent@빌리다, 집세
1@고교필수1200-(5/20)@freshman@신입생
2@고교필수1200-(5/20)@facility@시설, 재능
3@고교필수1200-(5/20)@peninsular@반도
4@고교필수1200-(5/20)@oxygen@산소
5@고교필수1200-(5/20)@layer@층
6@고교필수1200-(5/20)@explosion@폭발
7@고교필수1200-(5/20)@pace@속도, 한 걸음
8@고교필수1200-(5/20)@incident@사건 사고
9@고교필수1200-(5/20)@photography@사진술
10@고교필수1200-(5/20)@make-up@화장, 구성
11@고교필수1200-(5/20)@guard@경비원, 지키다
12@고교필수1200-(5/20)@dust@먼지, 먼지를 털다.
13@고교필수1200-(5/20)@sacrifice@희생(하다)
14@고교필수1200-(5/20)@purchase@구입, 사다.
15@고교필수1200-(5/20)@construct@구조물, 건축하다
1@고교필수1200-(5/20)@conductor@지휘자, 전도체
2@고교필수1200-(5/20)@wildlife@야생동물
3@고교필수1200-(5/20)@summit@정상
4@고교필수1200-(5/20)@horizon@지평선, 수평선
5@고교필수1200-(5/20)@clue@실마리
6@고교필수1200-(5/20)@assignment@과제, 할당
7@고교필수1200-(5/20)@faith@믿음
8@고교필수1200-(5/20)@hunger@굶주림
9@고교필수1200-(5/20)@trend@유행,경향
10@고교필수1200-(5/20)@fault@잘못, 결함
11@고교필수1200-(5/20)@bomb@폭탄
12@고교필수1200-(5/20)@institute@연구소, 시작하다
13@고교필수1200-(5/20)@display@전시(하다)
14@고교필수1200-(5/20)@glance@힐끗보다
15@고교필수1200-(5/20)@reserve@예약하다, 비축
