601@중학교기초IV-(1/5)@action@행동, 활동
602@중학교기초IV-(1/5)@ability@능력
603@중학교기초IV-(1/5)@pride@자랑, 자존심
604@중학교기초IV-(1/5)@slave@노예
605@중학교기초IV-(1/5)@rope	@로프, 밧줄
606@중학교기초IV-(1/5)@pair	@쌍[벌, 켤레]
607@중학교기초IV-(1/5)@tip@끝, 팁, 조언
608@중학교기초IV-(1/5)@stair@계단
609@중학교기초IV-(1/5)@sunrise@해돋이, 일출
610@중학교기초IV-(1/5)@master@달인, 주인, 숙달하다
611@중학교기초IV-(1/5)@notice@알아차리다, 주의, 통지
612@중학교기초IV-(1/5)@bow@절(하다), 활, 나비매듭
613@중학교기초IV-(1/5)@rush@서둘러 가다, 돌진
614@중학교기초IV-(1/5)@repeat@반복(하다)
615@중학교기초IV-(1/5)@folk	@사람들, 민속의
616@중학교기초IV-(1/5)@material@물질, 물질의
617@중학교기초IV-(1/5)@standard	@표준, 기준, 표준의
618@중학교기초IV-(1/5)@surf	@파도타기[검색]을 하다
619@중학교기초IV-(1/5)@accept@받아들이다, 인정하다
620@중학교기초IV-(1/5)@obey	@따르다, 복종하다
621@중학교기초IV-(1/5)@hide	@숨(기)다
622@중학교기초IV-(1/5)@fit@맞(추)다,건강한,알맞은
623@중학교기초IV-(1/5)@basic@기본의, 기초의
624@중학교기초IV-(1/5)@local@지역[지방]의
625@중학교기초IV-(1/5)@merry@즐거운, 유쾌한
626@중학교기초IV-(1/5)@boring@지루한
627@중학교기초IV-(1/5)@alive@살아 있는
628@중학교기초IV-(1/5)@wide	@넓은, 넓게
629@중학교기초IV-(1/5)@easily@쉽게
630@중학교기초IV-(1/5)@abroad@외국에(으로)
631@중학교기초IV-(1/5)@joy@기쁨
632@중학교기초IV-(1/5)@gesture@제스처, 몸짓
633@중학교기초IV-(1/5)@floor@(마루) 바닥, 층
634@중학교기초IV-(1/5)@gate	@대문, 탑승구
635@중학교기초IV-(1/5)@countryside@시골
636@중학교기초IV-(1/5)@diet	@음식, 다이어트
637@중학교기초IV-(1/5)@garbage@쓰레기
638@중학교기초IV-(1/5)@cash	@현금
639@중학교기초IV-(1/5)@police@경찰
640@중학교기초IV-(1/5)@knowledge@지식
641@중학교기초IV-(1/5)@dictionary@사전
642@중학교기초IV-(1/5)@amount@양,금액,합계가~이 되다
643@중학교기초IV-(1/5)@score@점수, 득점(하다)
644@중학교기초IV-(1/5)@cure	@치료하다, 치료(법)
645@중학교기초IV-(1/5)@adult@어른[성인](의)
646@중학교기초IV-(1/5)@appear@나타나다, ~인 것 같다
647@중학교기초IV-(1/5)@spread@퍼지다, 펴다
648@중학교기초IV-(1/5)@hunt	@사냥하다
649@중학교기초IV-(1/5)@destroy@파괴하다
650@중학교기초IV-(1/5)@consider@숙고[간주, 고려]하다
651@중학교기초IV-(1/5)@expect@기대하다
652@중학교기초IV-(1/5)@suggest@제안하다, 권하다
653@중학교기초IV-(1/5)@cultural@문화의
654@중학교기초IV-(1/5)@golden@금(빛)의, 귀중한
655@중학교기초IV-(1/5)@comportable@편안한
656@중학교기초IV-(1/5)@unhappy@불행한
657@중학교기초IV-(1/5)@weak	@약한
658@중학교기초IV-(1/5)@crazy@미친, 열광적인, 화난
659@중학교기초IV-(1/5)@outside@밖(에[으로], 의)
660@중학교기초IV-(1/5)@quite@꽤, 아주
