301@중학교기초III-(1/5)@environment@환경
302@중학교기초III-(1/5)@pollution@오염
303@중학교기초III-(1/5)@lake@호수
304@중학교기초III-(1/5)@desert@사막
305@중학교기초III-(1/5)@insect@곤충
306@중학교기초III-(1/5)@accident@사고
307@중학교기초III-(1/5)@collage	@대학
308@중학교기초III-(1/5)@exam@시험
309@중학교기초III-(1/5)@advice@조언,충고
310@중학교기초III-(1/5)@hobby@취미
311@중학교기초III-(1/5)@form@모양,형식,형성하다
312@중학교기초III-(1/5)@mark@표시
313@중학교기초III-(1/5)@board@판, (탈것에)타다
314@중학교기초III-(1/5)@post@우편,기둥
315@중학교기초III-(1/5)@laugh@웃다,웃음
316@중학교기초III-(1/5)@fat	@살찐,지방이많은
317@중학교기초III-(1/5)@excuse@용서하다,변명하다
318@중학교기초III-(1/5)@pass@지나가다,합격하다
319@중학교기초III-(1/5)@drive@운전하다
320@중학교기초III-(1/5)@receive@받다
321@중학교기초III-(1/5)@kill@죽이다
322@중학교기초III-(1/5)@climb@오르다,등반하다
323@중학교기초III-(1/5)@add	@더하다
324@중학교기초III-(1/5)@afraid@두려워하는,걱정하는
325@중학교기초III-(1/5)@dangerous@위험한
326@중학교기초III-(1/5)@physical@신체의,물질의
327@중학교기초III-(1/5)@modern@현대의
328@중학교기초III-(1/5)@pretty@예쁜,매우
329@중학교기초III-(1/5)@off	@떨어져
330@중학교기초III-(1/5)@ever@이전에,언제나,언젠가
331@중학교기초III-(1/5)@model@모형,모델,모범
332@중학교기초III-(1/5)@clerk@사무원,점원
333@중학교기초III-(1/5)@foot@발
334@중학교기초III-(1/5)@company@회사,친구,교제
335@중학교기초III-(1/5)@factory	@공장
336@중학교기초III-(1/5)@garage@차고
337@중학교기초III-(1/5)@palace@궁전
338@중학교기초III-(1/5)@hole@구멍
339@중학교기초III-(1/5)@bill@청구서,지폐,법안
340@중학교기초III-(1/5)@seed@씨
341@중학교기초III-(1/5)@medicine@약,의학
342@중학교기초III-(1/5)@meaning	@의미,뜻
343@중학교기초III-(1/5)@view@견해,전망,바라보다
344@중학교기초III-(1/5)@race@경주(하다),인종
345@중학교기초III-(1/5)@act	@행동(하다),연기(하다)
346@중학교기초III-(1/5)@pay	@지불하다,봉급
347@중학교기초III-(1/5)@shout@외치다,외침
348@중학교기초III-(1/5)@cross@건너다,십자가
349@중학교기초III-(1/5)@seem@~처럼 보이다
350@중학교기초III-(1/5)@invite@초대하다
351@중학교기초III-(1/5)@arrive@도착하다
352@중학교기초III-(1/5)@collect@모으다,수집하다
353@중학교기초III-(1/5)@angry@성난,화난
354@중학교기초III-(1/5)@blind@눈먼
355@중학교기초III-(1/5)@rich@부유한,풍부한
356@중학교기초III-(1/5)@heavy@무거운,심한
357@중학교기초III-(1/5)@useful@유용한, 쓸모있는
358@중학교기초III-(1/5)@strange@이상한,낯선
359@중학교기초III-(1/5)@maybe@아마,어쩌면
360@중학교기초III-(1/5)@ago	@~전에
