1@고교필수1200-(7/20)@ambassador@대사
2@고교필수1200-(7/20)@dirt@먼지, 때
3@고교필수1200-(7/20)@property@재산, 특성
4@고교필수1200-(7/20)@income@수입
5@고교필수1200-(7/20)@category@범주
6@고교필수1200-(7/20)@circumstance@상황
7@고교필수1200-(7/20)@equality@평등
8@고교필수1200-(7/20)@election@선거
9@고교필수1200-(7/20)@extinction@멸종
10@고교필수1200-(7/20)@remark@발언, 말하다
11@고교필수1200-(7/20)@deposit@은행에 맡기다
12@고교필수1200-(7/20)@cycle@순환(하다)
13@고교필수1200-(7/20)@chase@뒤쫓다, 추구
14@고교필수1200-(7/20)@ruin@망치다, 파산, 폐허
15@고교필수1200-(7/20)@forgive@용서하다
1@고교필수1200-(7/20)@priest@성직자
2@고교필수1200-(7/20)@organ@장기, 오르간
3@고교필수1200-(7/20)@telescope@망원경
4@고교필수1200-(7/20)@sword@칼
5@고교필수1200-(7/20)@welfare@복지
6@고교필수1200-(7/20)@tourism@관광 사업
7@고교필수1200-(7/20)@tone@어조, 음조, 색조
8@고교필수1200-(7/20)@theme@주제
9@고교필수1200-(7/20)@preparation@준비
10@고교필수1200-(7/20)@junk@폐물고물, 내버리다
11@고교필수1200-(7/20)@whistle@호각, 휘파람을 불다
12@고교필수1200-(7/20)@orbit@궤도(를 돌다)
13@고교필수1200-(7/20)@stare@응시, 응시하다.
14@고교필수1200-(7/20)@forbid@금지하다
15@고교필수1200-(7/20)@permit@허락하다.
1@고교필수1200-(7/20)@crew@승무원
2@고교필수1200-(7/20)@expense@비용
3@고교필수1200-(7/20)@era@시대
4@고교필수1200-(7/20)@emission@배기, 방사
5@고교필수1200-(7/20)@disorder@질환
6@고교필수1200-(7/20)@conference@회의
7@고교필수1200-(7/20)@clay@점토
8@고교필수1200-(7/20)@channel@채널, 경로
9@고교필수1200-(7/20)@statistics@통계(학)
10@고교필수1200-(7/20)@command@명령(하다)
11@고교필수1200-(7/20)@pose@제기하다,
12@고교필수1200-(7/20)@arrest@체포, 체포하다.
13@고교필수1200-(7/20)@leap@뛰다, 도약
14@고교필수1200-(7/20)@slap@손바닥으로 때리다
15@고교필수1200-(7/20)@punish@처벌하다.
1@고교필수1200-(7/20)@bush@관목
2@고교필수1200-(7/20)@ash@재
3@고교필수1200-(7/20)@agency@대행사
4@고교필수1200-(7/20)@document@문서
5@고교필수1200-(7/20)@tax@세금
6@고교필수1200-(7/20)@trial@재판, 시도
7@고교필수1200-(7/20)@occasion@경우, 행사
8@고교필수1200-(7/20)@capacity@수용력, 능력
9@고교필수1200-(7/20)@iron@철, 다리미(질 하다)
10@고교필수1200-(7/20)@stuff@물건
11@고교필수1200-(7/20)@import@수입, 수입하다.
12@고교필수1200-(7/20)@venture@모험(을 하다)
13@고교필수1200-(7/20)@cast@던지다, 배역9을 하다)
14@고교필수1200-(7/20)@dislike@싫어하다, 혐오
15@고교필수1200-(7/20)@adjust@적용하다, 조정하다
