1@중학교기초-(3/5)@bird@새
3@중학교기초-(3/5)@trip@여행
5@중학교기초-(3/5)@vacation@휴가, 방학
4@중학교기초-(3/5)@course@강좌, 과정, 진로
5@중학교기초-(3/5)@space@공간, 우주
6@중학교기초-(3/5)@street@거리, 도로
7@중학교기초-(3/5)@side@측, 쪽, 측면
8@중학교기초-(3/5)@paper@종이, 서류, 신문
9@중학교기초-(3/5)@newspaper@신문
10@중학교기초-(3/5)@face@얼굴, 직면하다
11@중학교기초-(3/5)@mind@마음, 꺼리다
13@중학교기초-(3/5)@volunteer@자원봉사자, 자원하다
15@중학교기초-(3/5)@change@변화(하다), 거스름돈
14@중학교기초-(3/5)@visit@방문(하다)
15@중학교기초-(3/5)@start@시작(하다)
16@중학교기초-(3/5)@watch@지켜보다, 시계
17@중학교기초-(3/5)@light@빛, 밝은
18@중학교기초-(3/5)@present@선물, 현재, 출석한
19@중학교기초-(3/5)@favorite@가장 좋아하는
30@중학교기초-(3/5)@enjoy@즐기다
31@중학교기초-(3/5)@win@이기다, 획득하다
33@중학교기초-(3/5)@understand@이해하다
35@중학교기초-(3/5)@warm@따뜻한
34@중학교기초-(3/5)@clean@깨끗한
35@중학교기초-(3/5)@please@제발, 기쁘게하다
36@중학교기초-(3/5)@interesting@재미있는
37@중학교기초-(3/5)@famous@유명한
38@중학교기초-(3/5)@special@특별한, 전문의
39@중학교기초-(3/5)@only@단지, 오직, 유일한
50@중학교기초-(3/5)@just@막, 단지
