901@중학교기초V-(1/5)@heaven@천국, 하늘
902@중학교기초V-(1/5)@helicopter@헬리콥터
903@중학교기초V-(1/5)@castle@성(成)
904@중학교기초V-(1/5)@doll@인형
905@중학교기초V-(1/5)@kindness@친절
906@중학교기초V-(1/5)@concentration@집중
907@중학교기초V-(1/5)@mystery@신비, 불가사의
908@중학교기초V-(1/5)@mess@엉망, 혼란
909@중학교기초V-(1/5)@battle@전투, 다툼
910@중학교기초V-(1/5)@goverment@정부
911@중학교기초V-(1/5)@industry@산업[공업], 근면
912@중학교기초V-(1/5)@bloom	@꽃(피다)
913@중학교기초V-(1/5)@focus	@초점(을 맞추다),집중하다
914@중학교기초V-(1/5)@joke@농담(하다)
915@중학교기초V-(1/5)@average@평균(의)
916@중학교기초V-(1/5)@predict@예언하다
917@중학교기초V-(1/5)@compare@비교하다
918@중학교기초V-(1/5)@complain@불평[항의]하다
919@중학교기초V-(1/5)@forgive@용서하다
920@중학교기초V-(1/5)@determine@결정하다
921@중학교기초V-(1/5)@exist	@존재하다[있다]
922@중학교기초V-(1/5)@dive@다이빙[잠수]하다
923@중학교기초V-(1/5)@upper@위쪽의, 높은
924@중학교기초V-(1/5)@central@중심[중앙]의
925@중학교기초V-(1/5)@normal@정상의
926@중학교기초V-(1/5)@similar@비슷한
927@중학교기초V-(1/5)@tough	@힘든, 강(인)한, 질긴
928@중학교기초V-(1/5)@ashamed@부끄러워하는
929@중학교기초V-(1/5)@anymore@더 이상
930@중학교기초V-(1/5)@besides@게다가, 그 밖에
931@중학교기초V-(1/5)@self@자기(자신), 자아
932@중학교기초V-(1/5)@population@인구
933@중학교기초V-(1/5)@visitor@방문객
934@중학교기초V-(1/5)@stomach@위, 배[복부]
935@중학교기초V-(1/5)@portrait@초상화
936@중학교기초V-(1/5)@screen@화면, 스크린
937@중학교기초V-(1/5)@darkness@어둠
938@중학교기초V-(1/5)@earthquake@지진
939@중학교기초V-(1/5)@weapon@무기
940@중학교기초V-(1/5)@edge@가장자리, 날
941@중학교기초V-(1/5)@saying@속담, 격언
942@중학교기초V-(1/5)@signal@신호(를 보내다)
943@중학교기초V-(1/5)@pattern@양식, 무늬
944@중학교기초V-(1/5)@graduate@졸업하다, 졸업생
945@중학교기초V-(1/5)@swallow@삼키다, 제비
946@중학교기초V-(1/5)@official@공식의, 관리[임원]
947@중학교기초V-(1/5)@gray@회색(의), 백발의
948@중학교기초V-(1/5)@prefer@더 좋아하다, 선호하다
949@중학교기초V-(1/5)@relax	@쉬다, 긴장을 풀다
950@중학교기초V-(1/5)@reduce@줄(이)다, 감소하다
951@중학교기초V-(1/5)@bury@묻다, 매장하다
952@중학교기초V-(1/5)@shoot@쏘다, 슛하다, 촬영하다
953@중학교기초V-(1/5)@yell@외치다, 소리치다
954@중학교기초V-(1/5)@powerful@강력한
955@중학교기초V-(1/5)@faithful@충실한, 믿음직한
956@중학교기초V-(1/5)@noisy	@시끄러운
957@중학교기초V-(1/5)@deaf@귀가 먼
958@중학교기초V-(1/5)@electronic@전자의
959@중학교기초V-(1/5)@nearly@거의, 가까스로
960@중학교기초V-(1/5)@happily@행복하게, 다행히도
