1@고교필수1200-(6/20)@scholar@학자
2@고교필수1200-(6/20)@palm@야자, 손바닥
3@고교필수1200-(6/20)@horn@뿔, 경적
4@고교필수1200-(6/20)@arrow@화살
5@고교필수1200-(6/20)@device@장치
6@고교필수1200-(6/20)@mixture@혼합물
7@고교필수1200-(6/20)@highway@고속도로
8@고교필수1200-(6/20)@habitat@서식지, 거주지
9@고교필수1200-(6/20)@agriculture@농업, 농학
10@고교필수1200-(6/20)@civilization@문명
11@고교필수1200-(6/20)@gravity@중력
12@고교필수1200-(6/20)@context@문맥, 맥락
13@고교필수1200-(6/20)@protest@항의, 항의하다.
14@고교필수1200-(6/20)@sink@싱크대. 가라앉다
15@고교필수1200-(6/20)@swallow@제비, 삼키다
1@고교필수1200-(6/20)@pole@기둥, 극
2@고교필수1200-(6/20)@raft@뗏목
3@고교필수1200-(6/20)@fare@운임
4@고교필수1200-(6/20)@quantity@양
5@고교필수1200-(6/20)@authority@권위, 정부 당국
6@고교필수1200-(6/20)@judgement@판단, 심판
7@고교필수1200-(6/20)@statement@성명(진술)서
8@고교필수1200-(6/20)@tension@긴장
9@고교필수1200-(6/20)@seal@봉하다 바다표범
10@고교필수1200-(6/20)@sum@총계, 요약하다
11@고교필수1200-(6/20)@panic@공황, 공포
12@고교필수1200-(6/20)@trail@흔적 질질 끌다
13@고교필수1200-(6/20)@exhibit@전시회(하다)
14@고교필수1200-(6/20)@grant@인정, 승인(하다)
15@고교필수1200-(6/20)@guarantee@보장(하다)
1@고교필수1200-(6/20)@belonging@소유물, 소속
2@고교필수1200-(6/20)@evidence@증거
3@고교필수1200-(6/20)@fossil@화석
4@고교필수1200-(6/20)@biology@생물학
5@고교필수1200-(6/20)@semester@학기
6@고교필수1200-(6/20)@anxiety@걱정, 열망
7@고교필수1200-(6/20)@shame@수치, 유감
8@고교필수1200-(6/20)@famine@기근
9@고교필수1200-(6/20)@bar@막대,
10@고교필수1200-(6/20)@ease@쉬움, 편함, 완화하다
11@고교필수1200-(6/20)@suicide@자살, 자살하다.
12@고교필수1200-(6/20)@shoot@쏘다. 촬영하다
13@고교필수1200-(6/20)@transport@운송, 운송하다, 이동하다
14@고교필수1200-(6/20)@estimate@어림잡다, 견적
15@고교필수1200-(6/20)@lay@눕히다, 알을 낳다
1@고교필수1200-(6/20)@globe@지구, 구
2@고교필수1200-(6/20)@shadow@그림자
3@고교필수1200-(6/20)@majority@다수, 과반수
4@고교필수1200-(6/20)@association@협회, 관련
5@고교필수1200-(6/20)@journal@잡지, 일기
6@고교필수1200-(6/20)@chore@허드렛일,
7@고교필수1200-(6/20)@procedure@절차
8@고교필수1200-(6/20)@shortage@부족
9@고교필수1200-(6/20)@intention@의도
10@고교필수1200-(6/20)@violence@폭력
11@고교필수1200-(6/20)@string@끈, 실을 꿰다
12@고교필수1200-(6/20)@border@국경선, 인접하다
13@고교필수1200-(6/20)@dump@쓰레기장, 버리다
14@고교필수1200-(6/20)@encounter@만남, 조우하다
15@고교필수1200-(6/20)@neglect@소홀히 하다, 소홀
