1081@중학교기초V-(4/5)@agent@대리인[대행사]
1082@중학교기초V-(4/5)@politics@정치
1083@중학교기초V-(4/5)@reality@현실
1084@중학교기초V-(4/5)@relationship@관계
1085@중학교기초V-(4/5)@role	@역할
1086@중학교기초V-(4/5)@theater@극장, 연극
1087@중학교기초V-(4/5)@performance@공연, 수행
1088@중학교기초V-(4/5)@cast	@깁스, 배역
1089@중학교기초V-(4/5)@reservation@예약
1090@중학교기초V-(4/5)@sightseeing@관광
1091@중학교기초V-(4/5)@path	@작은 길, 오솔길
1092@중학교기초V-(4/5)@source@원천, 근원, 출처
1093@중학교기초V-(4/5)@proof@증거
1094@중학교기초V-(4/5)@term	@기간[기한], 용어
1095@중학교기초V-(4/5)@net@(the~)인터넷, 그물
1096@중학교기초V-(4/5)@claim@주장(하다), 요구(하다)
1097@중학교기초V-(4/5)@deal	@다루다, 거래(하다)
1098@중학교기초V-(4/5)@hatch@부화하다
1099@중학교기초V-(4/5)@clap	@(손뼉을)치다
1100@중학교기초V-(4/5)@announce@발표하다
1101@중학교기초V-(4/5)@represent@나타내다, 대표하다
1102@중학교기초V-(4/5)@devote@바치다, 전념하다
1103@중학교기초V-(4/5)@peaceful	@평화로운
1104@중학교기초V-(4/5)@painful@아픈, 고통스러운
1105@중학교기초V-(4/5)@sharp@날카로운
1106@중학교기초V-(4/5)@excellent@뛰어난, 탁월한
1107@중학교기초V-(4/5)@responsible@책임 있는
1108@중학교기초V-(4/5)@ill@병든, 나쁜
1109@중학교기초V-(4/5)@likely@~할[일] 것 같은
1110@중학교기초V-(4/5)@immediately@즉시
1111@중학교기초V-(4/5)@ancestor	@조상, 선조
1112@중학교기초V-(4/5)@architect@건축가
1113@중학교기초V-(4/5)@enemy@적
1114@중학교기초V-(4/5)@throat@목구멍
1115@중학교기초V-(4/5)@illness@병
1116@중학교기초V-(4/5)@drug	@약
1117@중학교기초V-(4/5)@weed	@잡초
1118@중학교기초V-(4/5)@humor@유머
1119@중학교기초V-(4/5)@volcano@화산
1120@중학교기초V-(4/5)@kingdom@왕국
1121@중학교기초V-(4/5)@attempt@시도(하다)
1122@중학교기초V-(4/5)@award@상(을 주다)
1123@중학교기초V-(4/5)@broadcast@방송(하다)
1124@중학교기초V-(4/5)@nod@끄덕이다, 끄덕임
1125@중학교기초V-(4/5)@escape@도망[탈출](하다)
1126@중학교기초V-(4/5)@aid@돕다, 원조(하다)
1127@중학교기초V-(4/5)@measure@재다[측정하다], 조치
1128@중학교기초V-(4/5)@envy	@부러워하다, 부러움
1129@중학교기초V-(4/5)@total@전체의, 총계(의), 완전한
1130@중학교기초V-(4/5)@worth@가치(가 있는)
1131@중학교기초V-(4/5)@embarrass@당황하게 하다
1132@중학교기초V-(4/5)@erupt@(화산이) 폭발하다
1133@중학교기초V-(4/5)@perform@공연하다, 수행하다
1134@중학교기초V-(4/5)@publish@발행[출판]하다
1135@중학교기초V-(4/5)@silent@침묵하는, 조용한
1136@중학교기초V-(4/5)@silly@어리석은
1137@중학교기초V-(4/5)@scary@무서운
1138@중학교기초V-(4/5)@sore	@아픈, 쑤시는
1139@중학교기초V-(4/5)@bitter@쓴, 쓰라린
1140@중학교기초V-(4/5)@lately@요즈음, 최근
