661@중학교기초IV-(2/5)@host	@주인, 주최자
662@중학교기초IV-(2/5)@athlete@운동선수
663@중학교기초IV-(2/5)@audience@청중[관객], 독자
664@중학교기초IV-(2/5)@talent@재능 (있는 사람)
665@중학교기초IV-(2/5)@technique@기술, 기법
666@중학교기초IV-(2/5)@transportation@운송, 교통수단
667@중학교기초IV-(2/5)@bowl	@사발, 공기
668@중학교기초IV-(2/5)@brick@벽돌
669@중학교기초IV-(2/5)@planet@행성, (the~) 지구
670@중학교기초IV-(2/5)@temple@사원, 절
671@중학교기초IV-(2/5)@tail	@꼬리
672@중학교기초IV-(2/5)@wing	@날개
673@중학교기초IV-(2/5)@purpose@목적
674@중학교기초IV-(2/5)@suit	@정장 한 벌, ~복, 맞다
675@중학교기초IV-(2/5)@frighten@무섭게 하다
676@중학교기초IV-(2/5)@scare@무섭게 하다
677@중학교기초IV-(2/5)@slip	@미끄러지다
678@중학교기초IV-(2/5)@melt	@녹(이)다
679@중학교기초IV-(2/5)@pollute@오염시키다
680@중학교기초IV-(2/5)@affect@영향을 미치다
681@중학교기초IV-(2/5)@depend@의존하다, 달려있다
682@중학교기초IV-(2/5)@manage@관리[경영]하다, 해내다
683@중학교기초IV-(2/5)@correct@올바른, 바로잡다
684@중학교기초IV-(2/5)@social@사회의
685@중학교기초IV-(2/5)@active@활동적인, 적극적인
686@중학교기초IV-(2/5)@colorful@울긋불긋한, 화려한
687@중학교기초IV-(2/5)@wet@젖은, 비 오는
688@중학교기초IV-(2/5)@wild@야생의, 거친
689@중학교기초IV-(2/5)@straight@똑바로[똑바른], 즉시
690@중학교기초IV-(2/5)@forever@영원히
691@중학교기초IV-(2/5)@god@신, 조물주
692@중학교기초IV-(2/5)@guest@손님
693@중학교기초IV-(2/5)@diver@잠수부
694@중학교기초IV-(2/5)@pool	@풀, 물웅덩이
695@중학교기초IV-(2/5)@thought@생각, 사고
696@중학교기초IV-(2/5)@cancer@암
697@중학교기초IV-(2/5)@cell	@세포
698@중학교기초IV-(2/5)@temperature@온도, 기온, 체온
699@중학교기초IV-(2/5)@crop@농작물, 수확량
700@중학교기초IV-(2/5)@sheet@시트, (종이) 한 장
701@중학교기초IV-(2/5)@crowd@군중, 꽉 채우다
702@중학교기초IV-(2/5)@care	@돌봄, 돌보다
703@중학교기초IV-(2/5)@strike@치다, 치기
704@중학교기초IV-(2/5)@quarter@4분의 1(의)
705@중학교기초IV-(2/5)@relative@친척, 상대적인
706@중학교기초IV-(2/5)@gain	@얻다, 획득하다
707@중학교기초IV-(2/5)@provide@주다, 제공하다
708@중학교기초IV-(2/5)@dig@파다, 캐다
709@중학교기초IV-(2/5)@explore@탐험[탐사]하다
710@중학교기초IV-(2/5)@warn	@경고하다
711@중학교기초IV-(2/5)@recognize@알아보다
712@중학교기초IV-(2/5)@celebrate@축하[기념]하다
713@중학교기초IV-(2/5)@helpful@도움이 되는
714@중학교기초IV-(2/5)@convenient@편리한
715@중학교기초IV-(2/5)@impossible@불가능한
716@중학교기초IV-(2/5)@medical@의학[의료]의
717@중학교기초IV-(2/5)@outdoor@야외의
718@중학교기초IV-(2/5)@daily@매일(의), 일상의
719@중학교기초IV-(2/5)@indeed@정말, 사실은
720@중학교기초IV-(2/5)@nowadays@요즘(오늘날)에는
