1@고교필수1200-(1/20)@environment@환경
2@고교필수1200-(1/20)@company@회사
3@고교필수1200-(1/20)@government@정부, 정치
4@고교필수1200-(1/20)@face@얼굴
5@고교필수1200-(1/20)@race@경주, 인종
6@고교필수1200-(1/20)@plant@식물, 식물을 심다
7@고교필수1200-(1/20)@fire@화재, 발사하다
8@고교필수1200-(1/20)@matter@문제, 중요하다
9@고교필수1200-(1/20)@state@상태, 국가, 말하다
10@고교필수1200-(1/20)@cause@원인, 야기하다
11@고교필수1200-(1/20)@reason@이유, 이성,
12@고교필수1200-(1/20)@concern@걱정, 관련되다
13@고교필수1200-(1/20)@bear@곰, 참다, 낳다
14@고교필수1200-(1/20)@raise@들어올리다, 모금하다
15@고교필수1200-(1/20)@subject@주제. 과목
1@고교필수1200-(1/20)@planet@행성, 지구
2@고교필수1200-(1/20)@article@기사. 물품
3@고교필수1200-(1/20)@education@교육
4@고교필수1200-(1/20)@purpose@목적, 의도
5@고교필수1200-(1/20)@arm@무기, 무장하다
6@고교필수1200-(1/20)@object@물체. 대상
7@고교필수1200-(1/20)@amount@양
8@고교필수1200-(1/20)@rest@나머지, 휴식(하다)
9@고교필수1200-(1/20)@process@과정, 처리하다
10@고교필수1200-(1/20)@research@연구, 연구하다.
11@고교필수1200-(1/20)@respect@존경(하다). 관점
12@고교필수1200-(1/20)@influence@영향(력), (을 미치다).
13@고교필수1200-(1/20)@deal@거래, 처리(하다)
14@고교필수1200-(1/20)@notice@알아차리다, 공고
15@고교필수1200-(1/20)@support@지지(하다),부양(하다)
1@고교필수1200-(1/20)@generation@세대
2@고교필수1200-(1/20)@population@인구
3@고교필수1200-(1/20)@industry@산업, 근면
4@고교필수1200-(1/20)@career@경력, 직업
5@고교필수1200-(1/20)@opportunity@기회
6@고교필수1200-(1/20)@behavior@태도
7@고교필수1200-(1/20)@reality@현실
8@고교필수1200-(1/20)@tear@눈물, 찢다
9@고교필수1200-(1/20)@issue@문제, 발행(하다)
10@고교필수1200-(1/20)@detail@세부사항, 자세히 열거하다
11@고교필수1200-(1/20)@limit@한계, 제한하다
12@고교필수1200-(1/20)@challenge@도전(하다)
13@고교필수1200-(1/20)@advance@진보(하다)
14@고교필수1200-(1/20)@benefit@이익(을 주다)
15@고교필수1200-(1/20)@cure@치료(하다)
1@고교필수1200-(1/20)@expert@전문가
2@고교필수1200-(1/20)@species@(생물의) 종
3@고교필수1200-(1/20)@appearance@외모, 출현
4@고교필수1200-(1/20)@character@성격, 특징, 글자
5@고교필수1200-(1/20)@quality@자질(특성)
6@고교필수1200-(1/20)@resource@자원
7@고교필수1200-(1/20)@method@(조직적인) 방법 (방식)
8@고교필수1200-(1/20)@movement@이동, 움직임
9@고교필수1200-(1/20)@instance@예, 경우
10@고교필수1200-(1/20)@variety@다양성
11@고교필수1200-(1/20)@match@성냥, 경기(하다)
12@고교필수1200-(1/20)@figure@치수, 형태, 이해하다
13@고교필수1200-(1/20)@stick@막대기, 찌르다, 붙이다
14@고교필수1200-(1/20)@beat@이기다, 때리다, 고동
15@고교필수1200-(1/20)@approach@접근(하다)
