1@중학교기초-(5/5)@history@역사
2@중학교기초-(5/5)@state@국가, 상태
3@중학교기초-(5/5)@soldier@군인
4@중학교기초-(5/5)@village@마을
5@중학교기초-(5/5)@office@사무실
6@중학교기초-(5/5)@island@섬
7@중학교기초-(5/5)@piece@조각
8@중학교기초-(5/5)@grade@성적, 등급, 학년
9@중학교기초-(5/5)@spring@봄, 용수철
10@중학교기초-(5/5)@rock@바위, 흔들다
11@중학교기초-(5/5)@line@선, 줄을서다
12@중학교기초-(5/5)@cook@요리사, 요리하다
13@중학교기초-(5/5)@fall@떨어지다, 가을
14@중학교기초-(5/5)@exercise@운동, 연습(하다)
15@중학교기초-(5/5)@end@끝(나다)
16@중학교기초-(5/5)@front@앞의
17@중학교기초-(5/5)@second@제2의, 초, 잠깐
18@중학교기초-(5/5)@few@소수의, 조금의
19@중학교기초-(5/5)@both@양쪽, 둘다의
20@중학교기초-(5/5)@happen@일어나다, 우연히 ~하다
21@중학교기초-(5/5)@leave@떠나다, 내버려두다
22@중학교기초-(5/5)@remember@기억하다
23@중학교기초-(5/5)@wear@입다, 쓰다, 착용하다
24@중학교기초-(5/5)@move@움직이다, 감동시키다
25@중학교기초-(5/5)@send@보내다
26@중학교기초-(5/5)@true@진짜의, 참된
27@중학교기초-(5/5)@hot@뜨거운, 매운
28@중학교기초-(5/5)@early@초기의, 일찍
29@중학교기초-(5/5)@often@종종, 자주
30@중학교기초-(5/5)@sometimes@때때로
