1@필수구문-1@According to@~에 따르면
2@필수구문-1@According to today's paper,there was a big fire in Busan.@오늘자 신문에 따르면, 부산에서 큰 화재가 있었다.
3@필수구문-1@account for@설명하다
4@필수구문-1@His idleness accounts for his failure.@그의 실패는 그의 게이름 때문이다.
5@필수구문-1@add to@증가하다(increase)
6@필수구문-1@This adds to our difficulties.@이것은 우리 어려움을 더욱 증가시킨다.
7@필수구문-1@adhere to@달라붙다
8@필수구문-1@stick to@달라붙다
9@필수구문-1@cling to@달라붙다
10@필수구문-1@He adheres to the party to the end.@그는 끝까지 그 정당을 지지(고수) 하였다.
11@필수구문-1@after all@~에도 불구하고, 결국
12@필수구문-1@After all my advice,he failed after all.@내 충고에도 불구하고 그는 결국 실패했다.
13@필수구문-1@again and again@되풀이해서(repeatedly)
14@필수구문-1@He makes the same mistakes again and again.@그는 되풀이해서 같은 실수를 저지른다.
15@필수구문-1@agree with@+사람 : 동의하다
16@필수구문-1@The climate here does not agree with me.@이곳의 기후는 내게 적합하지 않다.
17@필수구문-1@agree to@+사물 : ~에 동의하다
18@필수구문-1@I cnanot agree to your proposal.@나는 너의 제안에 동의할 수 없다.
19@필수구문-1@all at once@갑자기(suddenly)
20@필수구문-1@All at once the sky became dark and it started to pour.@갑자기 하늘이 어두워지고 비가 쏟아지기 시작했다.
21@필수구문-1@all but@거의
22@필수구문-1@almost@거의
23@필수구문-1@It took him all but ten years to attain his object.@그가 그의 목표를 달성하는데 거의 10년이 걸렸다.
24@필수구문-1@all the same@~에도 불구하고
25@필수구문-1@He has many faults,but I love him all the same.@그가 결점이 많음에도 불구하고 나는 그를 사랑한다.
26@필수구문-1@answer for@책임지다
27@필수구문-1@be responsible for@책임지다
28@필수구문-1@I cannot answer for his honesty.@나는 그의 정직을 책임질 수 없다.
29@필수구문-1@be anxious about@걱정하다
30@필수구문-1@My mother is anxious about my health.@어머니는 내 건강을 염려하신다.
31@필수구문-1@be anxious for@갈망하다
32@필수구문-1@He is anxious for fame.@그는 명성을 갈망한다.
33@필수구문-1@anything but@결코
34@필수구문-1@His English is anything but correct.@그의 영어는 결코 정확하지 않다.
35@필수구문-1@apart from@~은 별도로 하고
36@필수구문-1@Apart from joking,what do you mean to do?@농담은 그만두고, 너는 무얼 할 작정이니?
37@필수구문-1@apply for@지원하다
38@필수구문-1@I applied for membership in the club.@나는 그 클럽의 회원에 지원했다.
39@필수구문-1@apply to@~에 적용되다
40@필수구문-1@This rule applies to all cases.@이 규칙은 모든 경우에 적용된다.
41@필수구문-1@apply oneself to@~에 전념하다.
42@필수구문-1@He applied himself to the study of English.@그는 영어 공부에 전념하였다.
43@필수구문-1@be apt to@~하기 쉬운
44@필수구문-1@We are apt to be wasteful of time.@우리는 시간을 낭비하기 쉽다.
45@필수구문-1@as a matter of fact@사실
46@필수구문-1@As a matter of fact I know nothing about the matter.@사실, 나는 그 문제에 대해 아무것도 모른다.
47@필수구문-1@as a rule@전체로서, 대체로
48@필수구문-1@They work ten hours a day as a rule.@그들은 대체로 하루에 10시간을 일한다.
49@필수구문-1@as good as@사실상, ~와 같은
50@필수구문-1@He is as good as dead.@그는 죽은거나 마찬가지이다.
