46@sports@football@축구
47@sports@baseball@야구
48@sports@basketball@농구
49@sports@volleyball@배구
50@sports@handball@핸드볼
51@sports@bowling@볼링
52@sports@fire@사격
53@sports@wrestling@레슬링
54@sports@gymnestics@체조
55@sports@badminton@배드민턴
56@sports@archery@양궁, 활쏘기
57@sports@fencing@펜싱
58@sports@weightlifting@역도
59@sports@table tennis@탁구
60@sports@swimming@수영
61@sports@tennis@테니스
62@sports@ski@스키
63@sports@ice hockey@아이스하키
