361@중학교기초III-(2/5)@sense@느낌,감각,분별력
362@중학교기초III-(2/5)@pleasure@기쁨,즐거움
363@중학교기초III-(2/5)@image@이미지,모습
364@중학교기초III-(2/5)@map	@지도
365@중학교기초III-(2/5)@type@유형
366@중학교기초III-(2/5)@project@계획
367@중학교기초III-(2/5)@traffic	@교통
368@중학교기초III-(2/5)@safety@안전
369@중학교기초III-(2/5)@spaceship@우주선
370@중학교기초III-(2/5)@rainbow	@무지개
371@중학교기초III-(2/5)@block@블록,구획,막다
372@중학교기초III-(2/5)@seat@좌석,앉히다
373@중학교기초III-(2/5)@lie	@눕다,~에있다,거짓말
374@중학교기초III-(2/5)@touch@만지다,접촉
375@중학교기초III-(2/5)@wonder@궁금히여기다,경이
376@중학교기초III-(2/5)@million@100만
377@중학교기초III-(2/5)@magic@마술
378@중학교기초III-(2/5)@secret@비밀
379@중학교기초III-(2/5)@general@일반적인,장군
380@중학교기초III-(2/5)@prepare	@준비하다
381@중학교기초III-(2/5)@imagine	@상상하다
382@중학교기초III-(2/5)@forget@잊다
383@중학교기초III-(2/5)@develop@발전하다,개발하다
384@중학교기초III-(2/5)@recycle	@재활용하다
385@중학교기초III-(2/5)@funny@웃기는,재미있는
386@중학교기초III-(2/5)@serious@진지한,심각한
387@중학교기초III-(2/5)@several	@몇몇의
388@중학교기초III-(2/5)@far	@멀리,먼
389@중학교기초III-(2/5)@loud@큰소리의
390@중학교기초III-(2/5)@almost@거의
391@중학교기초III-(2/5)@truth@진실,진리
392@중학교기초III-(2/5)@luck@행운
393@중학교기초III-(2/5)@success@성공
394@중학교기초III-(2/5)@friendship@우정
395@중학교기초III-(2/5)@being@존재,생물
396@중학교기초III-(2/5)@goods@상품,물품
397@중학교기초III-(2/5)@coin@동전
398@중학교기초III-(2/5)@bank@은행,둑
399@중학교기초III-(2/5)@address@주소,연설
400@중학교기초III-(2/5)@electricity@전기
401@중학교기초III-(2/5)@law	@법률
402@중학교기초III-(2/5)@campaign@캠페인,운동
403@중학교기초III-(2/5)@heat@열,더위,가열하다
404@중학교기초III-(2/5)@circle@원,집단
405@중학교기초III-(2/5)@mix	@섞다,혼합
406@중학교기초III-(2/5)@reach@도착하다,이르다
407@중학교기초III-(2/5)@excite@흥분시키다
408@중학교기초III-(2/5)@rise@오르다
409@중학교기초III-(2/5)@lead@이끌다
410@중학교기초III-(2/5)@enter@들어가다,입학하다
411@중학교기초III-(2/5)@fill@가득채우다
412@중학교기초III-(2/5)@produce@생산하다
413@중학교기초III-(2/5)@cool@시원한,멋진
414@중학교기초III-(2/5)@slow@느린,늦추다
415@중학교기초III-(2/5)@FALSE@거짓의,가짜의
416@중학교기초III-(2/5)@national@국가의,민족의
417@중학교기초III-(2/5)@main@주요한
418@중학교기초III-(2/5)@possible@가능한
419@중학교기초III-(2/5)@enough@충분한
420@중학교기초III-(2/5)@finally@마침내,마지막으로
