211@중학교기초II-(3/5)@brain@뇌
212@중학교기초II-(3/5)@voice@목소리
213@중학교기초II-(3/5)@opinion@의견,견해
214@중학교기초II-(3/5)@age@나이,시대
215@중학교기초II-(3/5)@century@세기,100년
216@중학교기초II-(3/5)@weekend@주말
217@중학교기초II-(3/5)@price@값,가격
218@중학교기초II-(3/5)@dish@접시,요리
219@중학교기초II-(3/5)@subway@지하철
220@중학교기초II-(3/5)@custom@관습,풍습
221@중학교기초II-(3/5)@rest@휴식(하다),나머지
222@중학교기초II-(3/5)@waste@낭비,쓰레기
223@중학교기초II-(3/5)@surprise@놀라게하다,놀람
224@중학교기초II-(3/5)@bear@낳다,곰
225@중학교기초II-(3/5)@fight@싸우다,싸움
226@중학교기초II-(3/5)@hundred@100
227@중학교기초II-(3/5)@thousand@1000
228@중학교기초II-(3/5)@human@인간
229@중학교기초II-(3/5)@buy@사다
230@중학교기초II-(3/5)@sell@팔다
231@중학교기초II-(3/5)@follow@따르다
232@중학교기초II-(3/5)@miss@놓치다,그리워하다
233@중학교기초II-(3/5)@close@닫다,가까운
234@중학교기초II-(3/5)@healthy@건강한
235@중학교기초II-(3/5)@delicious@맛있는
236@중학교기초II-(3/5)@sad@슬픈
237@중학교기초II-(3/5)@careful@주의깊은,조심하는
238@중학교기초II-(3/5)@ready@준비된
239@중학교기초II-(3/5)@away@떨어져,떠나서
240@중학교기초II-(3/5)@	however@그러나
