77@생활영어@What's your hobby?@취미가 뭔가요?
78@생활영어@I enjoy fishing.@낚시를 즐겨합니다.
79@생활영어@My hobby is collecting stamps.@제 취미는 우표수집입니다.
80@생활영어@Do you have a big collection?@많이 수집하셨어요?
81@생활영어@What do you do for relaxation?@여가를 어떻게 보내세요?
82@생활영어@What do you do in your spare time?@여가시간에는 무엇을 하나요?
83@생활영어@Are you interested in collection?@우편수집에는 관심이 있습니까?
84@생활영어@What's your favorite pop song?@ 좋아하는 팝송이 무엇입니까?
85@생활영어@What's your favorite season?@ 가장 좋아하는 계절은 언제인가요?
86@생활영어@Do you enjoy watching the baseball game?@야구관람을 즐겨하세요?
87@생활영어@Do you play any musical instruments?@악기를 다룰 줄 아세요?
88@생활영어@Do you know how to play the song on the guitar?@그 노래 기타로 연주할 줄 아세요?
89@생활영어@That music is not to my taste.@그 음악은 나의 취향에 맞지 않아요.
