1@고교필수1200-(13/20)@dawn@새벽
2@고교필수1200-(13/20)@lap@무릎
3@고교필수1200-(13/20)@liver@간
4@고교필수1200-(13/20)@plume@깃털장식
5@고교필수1200-(13/20)@microscope@현미경
6@고교필수1200-(13/20)@windshield@차 앞 유리
7@고교필수1200-(13/20)@outlet@배출구
8@고교필수1200-(13/20)@jail@감옥
9@고교필수1200-(13/20)@monastery@수도원
10@고교필수1200-(13/20)@corps@특수부대, 단체
11@고교필수1200-(13/20)@immigration@이주, 이민
12@고교필수1200-(13/20)@perimeter@둘레
13@고교필수1200-(13/20)@perspective@관점
14@고교필수1200-(13/20)@nonsense@의미 없는 말
15@고교필수1200-(13/20)@litter@쓰레기, 어지르다
1@고교필수1200-(13/20)@candidate@후보자
2@고교필수1200-(13/20)@gender@성
3@고교필수1200-(13/20)@faucet@수도꼭지
4@고교필수1200-(13/20)@bullet@총알
5@고교필수1200-(13/20)@equator@적도
6@고교필수1200-(13/20)@hell@지옥
7@고교필수1200-(13/20)@congestion@혼잡, 막힘
8@고교필수1200-(13/20)@division@분할, 부서
9@고교필수1200-(13/20)@extent@정도, 범위
10@고교필수1200-(13/20)@errand@심부름
11@고교필수1200-(13/20)@anniversary@기념일
12@고교필수1200-(13/20)@dismay@낙담시키다
13@고교필수1200-(13/20)@substitute@대체(하다)
14@고교필수1200-(13/20)@transplant@이식하다
15@고교필수1200-(13/20)@weep@울다
1@고교필수1200-(13/20)@cosmos@우주
2@고교필수1200-(13/20)@counterpart@상대
3@고교필수1200-(13/20)@debris@파편
4@고교필수1200-(13/20)@mural@벽화
5@고교필수1200-(13/20)@barn@헛간
6@고교필수1200-(13/20)@dialect@사투리
7@고교필수1200-(13/20)@constitution@헌법, 체질
8@고교필수1200-(13/20)@consensus@합의
9@고교필수1200-(13/20)@conscience@양심
10@고교필수1200-(13/20)@disgrace@불명예
11@고교필수1200-(13/20)@destiny@운명
12@고교필수1200-(13/20)@gospel@복음서, 신조
13@고교필수1200-(13/20)@blossom@꽃, 꽃피다
14@고교필수1200-(13/20)@contract@계약
15@고교필수1200-(13/20)@shift@옮기다
1@고교필수1200-(13/20)@ankle@발목
2@고교필수1200-(13/20)@core@핵심
3@고교필수1200-(13/20)@asset@자산
4@고교필수1200-(13/20)@artifact@인공유물
5@고교필수1200-(13/20)@workout@운동
6@고교필수1200-(13/20)@circulation@순환
7@고교필수1200-(13/20)@symptom@증세
8@고교필수1200-(13/20)@geometry@기하학
9@고교필수1200-(13/20)@advert@출현
10@고교필수1200-(13/20)@reception@환영
11@고교필수1200-(13/20)@bias@편견
12@고교필수1200-(13/20)@bud@싹, 꽃 몽우리
13@고교필수1200-(13/20)@pound@두근거리다
14@고교필수1200-(13/20)@compound@화합물
15@고교필수1200-(13/20)@audition@오디션
