1@고교필수1200-(4/20)@addict@중독자
2@고교필수1200-(4/20)@soul@영혼
3@고교필수1200-(4/20)@personality@개성, 성격
4@고교필수1200-(4/20)@novel@소설
5@고교필수1200-(4/20)@passage@문장, 통로, 경로
6@고교필수1200-(4/20)@concept@개념
7@고교필수1200-(4/20)@scale@저울, 규모, 등급
8@고교필수1200-(4/20)@agenda@의제,
9@고교필수1200-(4/20)@explanation@설명
10@고교필수1200-(4/20)@revolution@혁명
11@고교필수1200-(4/20)@weapon@무기
12@고교필수1200-(4/20)@patience@인내심
13@고교필수1200-(4/20)@fund@자금(을 제공하다)
14@고교필수1200-(4/20)@witness@증인, 목격하다
15@고교필수1200-(4/20)@stare@빤히 보다.
1@고교필수1200-(4/20)@vehicle@탈것
2@고교필수1200-(4/20)@atmosphere@대기, 분위기
3@고교필수1200-(4/20)@basis@기초
4@고교필수1200-(4/20)@edge@가장자리
5@고교필수1200-(4/20)@therapy@치료(법)
6@고교필수1200-(4/20)@insurance@보험, 보장
7@고교필수1200-(4/20)@decade@10년
8@고교필수1200-(4/20)@delight@기쁨, 기쁘게 하다.
9@고교필수1200-(4/20)@charge@요금, 책임(을 지다)
10@고교필수1200-(4/20)@aim@목표(을 정하다),
11@고교필수1200-(4/20)@request@요청, 요청하다.
12@고교필수1200-(4/20)@comment@논평(하다)
13@고교필수1200-(4/20)@debate@토론, 토론하다.
14@고교필수1200-(4/20)@defeat@패배(시키다)
15@고교필수1200-(4/20)@strike@치다, 파업(을 하다)
1@고교필수1200-(4/20)@astronaut@우주비행사
2@고교필수1200-(4/20)@genius@천재(영재)
3@고교필수1200-(4/20)@charity@자선, 자선단체
4@고교필수1200-(4/20)@prison@감옥(교도소)
5@고교필수1200-(4/20)@series@시리즈(연속물)
6@고교필수1200-(4/20)@appointment@약속, 임명
7@고교필수1200-(4/20)@track@좁은 길, 추적하다
8@고교필수1200-(4/20)@code@법, 암호(화 하다)
9@고교필수1200-(4/20)@lecture@강의, 강의하다.
10@고교필수1200-(4/20)@aid@도움, 돕다(원조하다)
11@고교필수1200-(4/20)@harm@손해, 해치다.
12@고교필수1200-(4/20)@prejudice@편견(을 가지다)
13@고교필수1200-(4/20)@transfer@옮기다, 이동
14@고교필수1200-(4/20)@fascinate@매혹하다.
15@고교필수1200-(4/20)@frustrate@좌절시키다
1@고교필수1200-(4/20)@identity@신원, 정체성
2@고교필수1200-(4/20)@substance@물질
3@고교필수1200-(4/20)@physics@물리학
4@고교필수1200-(4/20)@motion@운동,동작
5@고교필수1200-(4/20)@laboratory@실험(실)
6@고교필수1200-(4/20)@conclusion@결론
7@고교필수1200-(4/20)@phrase@(어)구
8@고교필수1200-(4/20)@excitement@흥분
9@고교필수1200-(4/20)@miracle@기적
10@고교필수1200-(4/20)@threat@위협
11@고교필수1200-(4/20)@harvest@수확. 수확하다
12@고교필수1200-(4/20)@review@검토, 복습(하다)
13@고교필수1200-(4/20)@grab@잡아채기, 잡아채다.
14@고교필수1200-(4/20)@puzzle@퍼즐, 혼란시키다
15@고교필수1200-(4/20)@claim@주장(하다), 요구(하다)
