721@중학교기초IV-(3/5)@wood	@나무, 목재, 숲
722@중학교기초IV-(3/5)@cave	@동굴
723@중학교기초IV-(3/5)@tomb	@무덤
724@중학교기초IV-(3/5)@tool	@도구, 연장
725@중학교기초IV-(3/5)@satelite@(인공)위성
726@중학교기초IV-(3/5)@communication@의사소통, 통신
727@중학교기초IV-(3/5)@wealth@재산
728@중학교기초IV-(3/5)@attention@주의[주목]
729@중학교기초IV-(3/5)@addition	@더하기
730@중학교기초IV-(3/5)@bit@조금, 작은 조각
731@중학교기초IV-(3/5)@stream@시내, 흐름, 흐르다
732@중학교기초IV-(3/5)@wave	@파도[물경], 흔들다
733@중학교기초IV-(3/5)@value@가치, 중요시하다
734@중학교기초IV-(3/5)@challenge@도전(하다)
735@중학교기초IV-(3/5)@beat	@이기다, 박자
736@중학교기초IV-(3/5)@support@지지(하다), 원조(하다)
737@중학교기초IV-(3/5)@chemical@화학물질, 화학의
738@중학교기초IV-(3/5)@female@여성(의), 암컷(의)
739@중학교기초IV-(3/5)@fair	@공정한, 박람회
740@중학교기초IV-(3/5)@respond@반응하다, 응답하다
741@중학교기초IV-(3/5)@fold	@접다
742@중학교기초IV-(3/5)@deliver@배달하다, 전하다
743@중학교기초IV-(3/5)@include@포함하다
744@중학교기초IV-(3/5)@earn	@(돈을) 벌다, 얻다
745@중학교기초IV-(3/5)@bet@확신하다, 내기를 걸다
746@중학교기초IV-(3/5)@surprising@놀라운
747@중학교기초IV-(3/5)@calm	@차분한, 고요, 진정하다
748@중학교기초IV-(3/5)@abstract@추상적인
749@중학교기초IV-(3/5)@ahead@앞에[으로]
750@중학교기초IV-(3/5)@someday@(미래의)언젠가
751@중학교기초IV-(3/5)@hero	@남자 영웅[주인공]
752@중학교기초IV-(3/5)@lawyer@변호사
753@중학교기초IV-(3/5)@soil	@흙, 토양
754@중학교기초IV-(3/5)@growth@성장, 증가
755@중학교기초IV-(3/5)@journey@여행
756@중학교기초IV-(3/5)@blood@피, 혈액
757@중학교기초IV-(3/5)@gun@총, 대포
758@중학교기초IV-(3/5)@emergency@비상[응급] 사태
759@중학교기초IV-(3/5)@case	@경우, 케이스[용기]
760@중학교기초IV-(3/5)@decision@결정
761@중학교기초IV-(3/5)@difficulty@어려움, 곤란
762@중학교기초IV-(3/5)@fool	@바보, 속이다
763@중학교기초IV-(3/5)@figure@숫자,모습,인물,도형
764@중학교기초IV-(3/5)@credit@신용[신뢰](하다), 외상
765@중학교기초IV-(3/5)@tie@묶다, 동점(이 되다)
766@중학교기초IV-(3/5)@sweet@단, 친절한, 단것
767@중학교기초IV-(3/5)@boil	@끓(이)다
768@중학교기초IV-(3/5)@borrow@빌리다
769@중학교기초IV-(3/5)@belong@~에 속하다
770@중학교기초IV-(3/5)@communicate@의사소통하다
771@중학교기초IV-(3/5)@confuse@혼란시키다, 혼동하다
772@중학교기초IV-(3/5)@survive@살아남다
773@중학교기초IV-(3/5)@scientific@과학의
774@중학교기초IV-(3/5)@gentle@온화한, 예의바른
775@중학교기초IV-(3/5)@mad@화난, 열광적인, 미친
776@중학교기초IV-(3/5)@stupid@어리석은, 멍청한
777@중학교기초IV-(3/5)@quick@빠른
778@중학교기초IV-(3/5)@thick@두꺼운, 짙은
779@중학교기초IV-(3/5)@mostly@대부분, 대개
780@중학교기초IV-(3/5)@anywhere@어디든지, 어디엔가
