1@고교필수1200-(2/20)@Freedom@자유
2@고교필수1200-(2/20)@tradition@전통
3@고교필수1200-(2/20)@adventure@모험
4@고교필수1200-(2/20)@crime@범죄
5@고교필수1200-(2/20)@aspect@면(일면)
6@고교필수1200-(2/20)@solution@해결(책)
7@고교필수1200-(2/20)@account@계산, 설명하다
8@고교필수1200-(2/20)@block@막다,구획
9@고교필수1200-(2/20)@range@범위,-에 걸쳐지다
10@고교필수1200-(2/20)@demage@손해, 손상
11@고교필수1200-(2/20)@supply@공급(하다)
12@고교필수1200-(2/20)@demand@요구(하다)
13@고교필수1200-(2/20)@lie@거짓말 하다,눕다
14@고교필수1200-(2/20)@spread@확산, 퍼지다.
15@고교필수1200-(2/20)@feed@먹이다
1@고교필수1200-(2/20)@youth@젊음
2@고교필수1200-(2/20)@soil@흑 (토양)
3@고교필수1200-(2/20)@equipment@설비, 장비
4@고교필수1200-(2/20)@term@용어, 기간, 조건
5@고교필수1200-(2/20)@advantage@유리한 점
6@고교필수1200-(2/20)@board@판, 타다
7@고교필수1200-(2/20)@fuel@연료(를 공급하다)
8@고교필수1200-(2/20)@chat@농담(하다)
9@고교필수1200-(2/20)@trick@속임수, 속이다
10@고교필수1200-(2/20)@attack@공격(하다)
11@고교필수1200-(2/20)@attempt@시도, 시도하다.
12@고교필수1200-(2/20)@exchange@교환, 주고받다.
13@고교필수1200-(2/20)@hide@숨기다, 가죽
14@고교필수1200-(2/20)@gain@얻다, 이익
15@고교필수1200-(2/20)@exist@존재하다. 있다.
1@고교필수1200-(2/20)@organism@유기체 (생물)
2@고교필수1200-(2/20)@emotion@감정
3@고교필수1200-(2/20)@belief@믿음, 신념
4@고교필수1200-(2/20)@economy@경제. 절약
5@고교필수1200-(2/20)@discovery@발견
6@고교필수1200-(2/20)@rate@비율, 속도
7@고교필수1200-(2/20)@suit@정장, 적합하다
8@고교필수1200-(2/20)@court@법정, 경기장
9@고교필수1200-(2/20)@pressure@압력,
10@고교필수1200-(2/20)@risk@위험(을 무릅쓰다)
11@고교필수1200-(2/20)@progress@진보, 전진
12@고교필수1200-(2/20)@escape@도망,
13@고교필수1200-(2/20)@measure@재다. 조치
14@고교필수1200-(2/20)@decrease@감소
15@고교필수1200-(2/20)@seek@추구하다, 찾다
1@고교필수1200-(2/20)@humanity@인류, 인간성
2@고교필수1200-(2/20)@enemy@적
3@고교필수1200-(2/20)@grain@곡물.
4@고교필수1200-(2/20)@surface@표면
5@고교필수1200-(2/20)@sickness@병
6@고교필수1200-(2/20)@possibility@가능성
7@고교필수1200-(2/20)@crisis@위기
8@고교필수1200-(2/20)@strategy@전략
9@고교필수1200-(2/20)@custom@관습, 습관
10@고교필수1200-(2/20)@origin@기원, 출신
11@고교필수1200-(2/20)@introduction@도입
12@고교필수1200-(2/20)@trust@신뢰(하다)
13@고교필수1200-(2/20)@credit@신용. 믿다
14@고교필수1200-(2/20)@mention@언급, 언급하다.
15@고교필수1200-(2/20)@handle@다루다
