1021@중학교기초V-(3/5)@generation@세대
1022@중학교기초V-(3/5)@lifetime	@일생, 평생
1023@중학교기초V-(3/5)@fitness@건강
1024@중학교기초V-(3/5)@fist	@주먹
1025@중학교기초V-(3/5)@fur@모피
1026@중학교기초V-(3/5)@furniture@가구
1027@중학교기초V-(3/5)@engine@엔진, 기관(차)
1028@중학교기초V-(3/5)@balloon@풍선, 가구
1029@중학교기초V-(3/5)@border@국경[경계](선)
1030@중학교기초V-(3/5)@disaster@재해[재난]
1031@중학교기초V-(3/5)@fear	@두려움, 두려워하다
1032@중학교기초V-(3/5)@regard@(~s)안부인사, 여기다
1033@중학교기초V-(3/5)@chat	@잡담(하다), 채팅하다
1034@중학교기초V-(3/5)@exchange@교환, 주고받다
1035@중학교기초V-(3/5)@glue	@아교(로 붙이다)
1036@중학교기초V-(3/5)@puzzle@퍼즐, 혼란시키다
1037@중학교기초V-(3/5)@characteristic@특성, 특유의
1038@중학교기초V-(3/5)@professional	@전문의, 직업인[전문가]
1039@중학교기초V-(3/5)@encourge	@용기를 복돋우다
1040@중학교기초V-(3/5)@reflect@비추다, 반사[반영]하다
1041@중학교기초V-(3/5)@slide@미끄러져 움직이다
1042@중학교기초V-(3/5)@stretch@잡아 늘리다, 펴다[뻗다]
1043@중학교기초V-(3/5)@steal@훔치다
1044@중학교기초V-(3/5)@separate@분리된, 분리하다
1045@중학교기초V-(3/5)@anxious@걱정하는, 열망하는
1046@중학교기초V-(3/5)@asleep@잠든
1047@중학교기초V-(3/5)@effective@효과적인
1048@중학교기초V-(3/5)@due@때문에, 기한이 된
1049@중학교기초V-(3/5)@upside down@거꾸로, 뒤집혀
1050@중학교기초V-(3/5)@rather@오히려, 다소
1051@중학교기초V-(3/5)@manager@관리[경영]자, 지배인
1052@중학교기초V-(3/5)@thief@도둑
1053@중학교기초V-(3/5)@grain@곡물, 낱알
1054@중학교기초V-(3/5)@shore@바닷가, 호숫가, 강가
1055@중학교기초V-(3/5)@sand	@모래(사장)
1056@중학교기초V-(3/5)@lighting@조명
1057@중학교기초V-(3/5)@wire	@철사, 전선
1058@중학교기초V-(3/5)@harmony@조화
1059@중학교기초V-(3/5)@prediction@예언[예측]
1060@중학교기초V-(3/5)@marriage	@결혼
1061@중학교기초V-(3/5)@period@기간[시대], 수업시간
1062@중학교기초V-(3/5)@issue@문제[쟁점], 발행하다
1063@중학교기초V-(3/5)@quarrel@말다툼(하다)
1064@중학교기초V-(3/5)@limit@한계, 제한하다
1065@중학교기초V-(3/5)@harm	@손해[손상], 해치다
1066@중학교기초V-(3/5)@tap@톡톡 두드리다, (수도)꼭지
1067@중학교기초V-(3/5)@spray@(물을)뿌리다, 분무기
1068@중학교기초V-(3/5)@pray	@빌다, 기원하다
1069@중학교기초V-(3/5)@greet@인사하다
1070@중학교기초V-(3/5)@chew	@씹다
1071@중학교기초V-(3/5)@attract@(관심을)끌다, 매혹하다
1072@중학교기초V-(3/5)@overcome@극복하다
1073@중학교기초V-(3/5)@southern	@남쪽의
1074@중학교기초V-(3/5)@creative	@창조적인
1075@중학교기초V-(3/5)@curious@호기심 강한
1076@중학교기초V-(3/5)@honest@정직한
1077@중학교기초V-(3/5)@humorous@유머가 넘치는
1078@중학교기초V-(3/5)@foolish@어리석은
1079@중학교기초V-(3/5)@greedy@탐욕스러운
1080@중학교기초V-(3/5)@certainly@확실히, 물론
