1@고교필수1200-(8/20)@union@연합
2@고교필수1200-(8/20)@pottery@도기
3@고교필수1200-(8/20)@remains@유적
4@고교필수1200-(8/20)@surgery@외과의사
5@고교필수1200-(8/20)@philosophy@철학
6@고교필수1200-(8/20)@myth@신화
7@고교필수1200-(8/20)@stock@주식
8@고교필수1200-(8/20)@pile@더미, 쌓다
9@고교필수1200-(8/20)@trap@덫, 가두다
10@고교필수1200-(8/20)@shade@그늘
11@고교필수1200-(8/20)@turn@곡조, 음조
12@고교필수1200-(8/20)@resort@휴양지
13@고교필수1200-(8/20)@vacuum@진공(청소기)
14@고교필수1200-(8/20)@dye@물들이다
15@고교필수1200-(8/20)@drag@끌다
1@고교필수1200-(8/20)@supreme@최고의
2@고교필수1200-(8/20)@mechanical@기계의
3@고교필수1200-(8/20)@miserable@비참한
4@고교필수1200-(8/20)@bitter@쓴, 지독한
5@고교필수1200-(8/20)@promising@유망한
6@고교필수1200-(8/20)@sensible@분별력 있는
7@고교필수1200-(8/20)@lively@활기찬
8@고교필수1200-(8/20)@liquid@액체(의)
9@고교필수1200-(8/20)@infect@감염시키다
10@고교필수1200-(8/20)@terrify@겁나게 하다
11@고교필수1200-(8/20)@scold@비난하다
12@고교필수1200-(8/20)@strengthen@강화하다
13@고교필수1200-(8/20)@skip@건너뛰다
14@고교필수1200-(8/20)@tug@빨리 끌어당기다
15@고교필수1200-(8/20)@clap@손뼉을 치다
1@고교필수1200-(8/20)@descendent@자손
2@고교필수1200-(8/20)@pupil@학생
3@고교필수1200-(8/20)@beard@수염
4@고교필수1200-(8/20)@committee@위원회
5@고교필수1200-(8/20)@carbohydrate@탄수화물
6@고교필수1200-(8/20)@fortune@돈, 행운
7@고교필수1200-(8/20)@entrance@출입구
8@고교필수1200-(8/20)@alley@골목길
9@고교필수1200-(8/20)@colony@식민지
10@고교필수1200-(8/20)@boundary@경계
11@고교필수1200-(8/20)@arrival@도착
12@고교필수1200-(8/20)@consequence@결과
13@고교필수1200-(8/20)@bargain@싼 물건, 흥정하다
14@고교필수1200-(8/20)@abuse@남용(하다)
15@고교필수1200-(8/20)@roar@으르렁거리다
1@고교필수1200-(8/20)@harsh@기혹한
2@고교필수1200-(8/20)@register@등록부, 등록하다
3@고교필수1200-(8/20)@actual@실제의
4@고교필수1200-(8/20)@ban@금지하다
5@고교필수1200-(8/20)@eager@열망하는
6@고교필수1200-(8/20)@forecast@예보하다
7@고교필수1200-(8/20)@diligent@근면한
8@고교필수1200-(8/20)@psychology@심리학
9@고교필수1200-(8/20)@capable@할 수 있는
10@고교필수1200-(8/20)@politics@정치학
11@고교필수1200-(8/20)@pale@창백한
12@고교필수1200-(8/20)@prospect@전망
13@고교필수1200-(8/20)@abstract@추상적인
14@고교필수1200-(8/20)@strain@긴장
15@고교필수1200-(8/20)@resident@거주자
