16@고교필수1200-(20/20)@attach@붙이다, 첨부하다
17@고교필수1200-(20/20)@select@고르다.
18@고교필수1200-(20/20)@amaze@놀라게 하다
19@고교필수1200-(20/20)@discourage@낙담시키다, 단념시키다
20@고교필수1200-(20/20)@relieve@경감(완화)하다.
21@고교필수1200-(20/20)@admit@인정하다, 허가하다
22@고교필수1200-(20/20)@routine@일과, 일상의
23@고교필수1200-(20/20)@former@이전의, 전자
24@고교필수1200-(20/20)@formal@정식의
25@고교필수1200-(20/20)@reasonable@합리적인
26@고교필수1200-(20/20)@legal@합법의
27@고교필수1200-(20/20)@tremendous@굉장한
28@고교필수1200-(20/20)@depressed@우울한
29@고교필수1200-(20/20)@high-tech@첨단 과학 기술의
30@고교필수1200-(20/20)@accordingly@따라서
16@고교필수1200-(20/20)@bend@구부리다
17@고교필수1200-(20/20)@annoy@화나게하다
18@고교필수1200-(20/20)@invade@침략(침해)하다.
19@고교필수1200-(20/20)@wander@배회하다
20@고교필수1200-(20/20)@insure@보장하다
21@고교필수1200-(20/20)@bless@축복하다.
22@고교필수1200-(20/20)@afford@할 여유가 있다
23@고교필수1200-(20/20)@lean@기대다, 마른
24@고교필수1200-(20/20)@civil@시민의, 민간의
25@고교필수1200-(20/20)@distant@먼, 거리가 멀리 떨어진
26@고교필수1200-(20/20)@steady@꾸준한, 안정된
27@고교필수1200-(20/20)@vital@필수의 활기찬
28@고교필수1200-(20/20)@ordinary@보편적인
29@고교필수1200-(20/20)@artificial@인공의
30@고교필수1200-(20/20)@seemingly@겉보기에
16@고교필수1200-(20/20)@crash@충돌, 충돌하다.
17@고교필수1200-(20/20)@delay@미루다, 연기시키다
18@고교필수1200-(20/20)@appeal@호소(하다)
19@고교필수1200-(20/20)@operate@작동시키다
20@고교필수1200-(20/20)@motivate@동기를 부여하다.
21@고교필수1200-(20/20)@qualify@자격을 주다.
22@고교필수1200-(20/20)@apologize@사과하다
23@고교필수1200-(20/20)@awake@깨어있는, 깨우다
24@고교필수1200-(20/20)@representative@대표자, 대표하는
25@고교필수1200-(20/20)@marine@해병, 해양의
26@고교필수1200-(20/20)@extreme@극단, 극단적인
27@고교필수1200-(20/20)@remote@먼
28@고교필수1200-(20/20)@ultimate@궁극적인
29@고교필수1200-(20/20)@expressive@표현하는
30@고교필수1200-(20/20)@overnight@하룻밤동안, 밤새
16@고교필수1200-(20/20)@rid@제거하다
17@고교필수1200-(20/20)@float@뜨다
18@고교필수1200-(20/20)@weigh@무게가-에 이르다
19@고교필수1200-(20/20)@declare@선언하다, 신고하다
20@고교필수1200-(20/20)@capture@잡다, 포획
21@고교필수1200-(20/20)@include@포함하다
22@고교필수1200-(20/20)@interact@상호작용하다
23@고교필수1200-(20/20)@devote@바치다
24@고교필수1200-(20/20)@evil@악한, 악
25@고교필수1200-(20/20)@alternative@대안, 대체의
26@고교필수1200-(20/20)@broad@넒은
27@고교필수1200-(20/20)@cruel@잔인한
28@고교필수1200-(20/20)@primary@주요한
29@고교필수1200-(20/20)@usual@일상적인
30@고교필수1200-(20/20)@undoubtedly@의심 할 바 없는
