16@고교필수1200-(18/20)@overcome@극복하다.
17@고교필수1200-(18/20)@behave@행동하다
18@고교필수1200-(18/20)@observe@관찰하다.
19@고교필수1200-(18/20)@participate@참가하다
20@고교필수1200-(18/20)@publish@출판하다
21@고교필수1200-(18/20)@connect@연결하다
22@고교필수1200-(18/20)@complain@불평(항의)하다.
23@고교필수1200-(18/20)@disappoint@실망시키다
24@고교필수1200-(18/20)@current@현재의, 흐름
25@고교필수1200-(18/20)@worth@~의 가치가 있는,
26@고교필수1200-(18/20)@brief@짧은, 간단히
27@고교필수1200-(18/20)@efficient@효율적인
28@고교필수1200-(18/20)@mental@정신(마음)의
29@고교필수1200-(18/20)@incredible@믿을 수 없는
30@고교필수1200-(18/20)@approximately@대략
16@고교필수1200-(18/20)@enable@~할 수 있게 하다.
17@고교필수1200-(18/20)@attract@끌다. 매혹하다
18@고교필수1200-(18/20)@confuse@혼란시키다
19@고교필수1200-(18/20)@compete@경쟁하다.
20@고교필수1200-(18/20)@contribute@기부하다
21@고교필수1200-(18/20)@refuse@거절(거부)하다.
22@고교필수1200-(18/20)@maintain@유지하다, 주장하다
23@고교필수1200-(18/20)@remove@제거하다.
24@고교필수1200-(18/20)@rough@거친, 대략의
25@고교필수1200-(18/20)@enormous@거대한, 막대한
26@고교필수1200-(18/20)@constant@끊임없는
27@고교필수1200-(18/20)@realistic@현실적인, 사실적인
28@고교필수1200-(18/20)@virtual@가상의
29@고교필수1200-(18/20)@ethical@윤리의
30@고교필수1200-(18/20)@regardless@관계없이
16@고교필수1200-(18/20)@impress@감명을 주다
17@고교필수1200-(18/20)@bother@귀찮게 하다
18@고교필수1200-(18/20)@embarrass@당황하게 하다.
19@고교필수1200-(18/20)@injure@다치게 하다
20@고교필수1200-(18/20)@surround@둘러싸다.
21@고교필수1200-(18/20)@identify@확인하다, 공감하다
22@고교필수1200-(18/20)@inclined@~경향이 있다.
23@고교필수1200-(18/20)@novel@소설
24@고교필수1200-(18/20)@opposite@정반대의 (것),
25@고교필수1200-(18/20)@shy@수줍어하는
26@고교필수1200-(18/20)@curious@호기심이 강한
27@고교필수1200-(18/20)@rude@무례한
28@고교필수1200-(18/20)@accurate@정확한
29@고교필수1200-(18/20)@flat@평평한
30@고교필수1200-(18/20)@somewhat@다소
16@고교필수1200-(18/20)@bury@묻다, 매장하다
17@고교필수1200-(18/20)@celebrate@축하(기념)하다.
18@고교필수1200-(18/20)@insist@주장하다
19@고교필수1200-(18/20)@intend@~할 작정이다.
20@고교필수1200-(18/20)@indicate@가르키다, 보여주다
21@고교필수1200-(18/20)@locate@위치시키다
22@고교필수1200-(18/20)@endanger@위험에 빠뜨리다.
23@고교필수1200-(18/20)@narrow@좁은
24@고교필수1200-(18/20)@characteristic@특성, 특징적인
25@고교필수1200-(18/20)@tough@거친, 강한
26@고교필수1200-(18/20)@convenient@편리한
27@고교필수1200-(18/20)@significant@중요한, 의미있는
28@고교필수1200-(18/20)@independent@독립적인
29@고교필수1200-(18/20)@frequent@잦은
30@고교필수1200-(18/20)@barely@거의-하지 않는, 간신히
