1@고교필수1200-(10/20)@nun@수녀
2@고교필수1200-(10/20)@mummy@미이라
3@고교필수1200-(10/20)@monument@기념비
4@고교필수1200-(10/20)@paradise@낙원
5@고교필수1200-(10/20)@mercy@자비
6@고교필수1200-(10/20)@nightmare@악몽
7@고교필수1200-(10/20)@nerve@신경
8@고교필수1200-(10/20)@nutrition@영양분
9@고교필수1200-(10/20)@moisture@수분
10@고교필수1200-(10/20)@motorcycle@오토바이
11@고교필수1200-(10/20)@outcome@결과
12@고교필수1200-(10/20)@millennium@천년
13@고교필수1200-(10/20)@arise@일어나다
14@고교필수1200-(10/20)@meantime@동안에
15@고교필수1200-(10/20)@pioneer@개척자
1@고교필수1200-(10/20)@historian@역사가
2@고교필수1200-(10/20)@geography@지리
3@고교필수1200-(10/20)@hydrogen@수소
4@고교필수1200-(10/20)@lava@옹암
5@고교필수1200-(10/20)@livestock@가축
6@고교필수1200-(10/20)@fishery@어업
7@고교필수1200-(10/20)@irrigation@관개
8@고교필수1200-(10/20)@institution@기관
9@고교필수1200-(10/20)@frame@틀
10@고교필수1200-(10/20)@logic@논리적인
11@고교필수1200-(10/20)@goodwill@선의
12@고교필수1200-(10/20)@horror@공포
13@고교필수1200-(10/20)@heritage@유산
14@고교필수1200-(10/20)@yield@산출하다, 양보하다
15@고교필수1200-(10/20)@idiom@숙어
1@고교필수1200-(10/20)@empire@제국
2@고교필수1200-(10/20)@fate@운명
3@고교필수1200-(10/20)@feather@깃털
4@고교필수1200-(10/20)@evolution@진화
5@고교필수1200-(10/20)@fermentation@발효
6@고교필수1200-(10/20)@drought@가뭄
7@고교필수1200-(10/20)@excursion@소풍
8@고교필수1200-(10/20)@encyclopedia@백과사전
9@고교필수1200-(10/20)@diameter@지름
10@고교필수1200-(10/20)@cube@정육면체
11@고교필수1200-(10/20)@cone@원뿔
12@고교필수1200-(10/20)@feedback@피드백
13@고교필수1200-(10/20)@decline@감소하다
14@고교필수1200-(10/20)@strip@벗기다
15@고교필수1200-(10/20)@suspect@의심하다
1@고교필수1200-(10/20)@archaeologist@고고학자
2@고교필수1200-(10/20)@attoney@변호사
3@고교필수1200-(10/20)@sleeve@소매
4@고교필수1200-(10/20)@caterpillar@애벌레
5@고교필수1200-(10/20)@cereal@시리얼,곡물
6@고교필수1200-(10/20)@mud@진흙
7@고교필수1200-(10/20)@cliff@절벽
8@고교필수1200-(10/20)@cabin@집, 선실
9@고교필수1200-(10/20)@architecture@건축
10@고교필수1200-(10/20)@democracy@민주주의
11@고교필수1200-(10/20)@administration@관리
12@고교필수1200-(10/20)@assumption@가정
13@고교필수1200-(10/20)@burden@부담
14@고교필수1200-(10/20)@polish@광내다
15@고교필수1200-(10/20)@sow@씨를 뿌리다
