1@고교필수1200-(11/20)@spokesperson@대변인
2@고교필수1200-(11/20)@sophomore@2학년
3@고교필수1200-(11/20)@kindergarten@유치원
4@고교필수1200-(11/20)@tribe@부족
5@고교필수1200-(11/20)@breeze@산들바람
6@고교필수1200-(11/20)@scenery@경치
7@고교필수1200-(11/20)@wetland@습지
8@고교필수1200-(11/20)@honesty@정직
9@고교필수1200-(11/20)@thrift@절약
10@고교필수1200-(11/20)@temper@기질
11@고교필수1200-(11/20)@signature@서명
12@고교필수1200-(11/20)@transaction@거래
13@고교필수1200-(11/20)@flavor@맛,풍미
14@고교필수1200-(11/20)@slope@경사로
15@고교필수1200-(11/20)@cruise@순항하다
1@고교필수1200-(11/20)@freelancer@프리렌서
2@고교필수1200-(11/20)@jaw@턱
3@고교필수1200-(11/20)@sermon@설교
4@고교필수1200-(11/20)@route@경로
5@고교필수1200-(11/20)@ranch@목장
6@고교필수1200-(11/20)@rainfall@강우량
7@고교필수1200-(11/20)@lottery@복권
8@고교필수1200-(11/20)@sequence@연속
9@고교필수1200-(11/20)@necessity@필수품
10@고교필수1200-(11/20)@productivity@생산성
11@고교필수1200-(11/20)@salvation@구원,구제
12@고교필수1200-(11/20)@nap@낮잠
13@고교필수1200-(11/20)@prey@먹이
14@고교필수1200-(11/20)@refund@환불하다
15@고교필수1200-(11/20)@spill@엎지르다
1@고교필수1200-(11/20)@minority@소수
2@고교필수1200-(11/20)@pedestrian@보행자
3@고교필수1200-(11/20)@physician@의사
4@고교필수1200-(11/20)@frost@서리
5@고교필수1200-(11/20)@glacier@빙하
6@고교필수1200-(11/20)@galaxy@은하
7@고교필수1200-(11/20)@molecule@분자
8@고교필수1200-(11/20)@headline@머릿기사,표제
9@고교필수1200-(11/20)@midst@한가운데
10@고교필수1200-(11/20)@guidance@안내
11@고교필수1200-(11/20)@grief@슬픔
12@고교필수1200-(11/20)@greed@탐욕
13@고교필수1200-(11/20)@lyric@서정시
14@고교필수1200-(11/20)@stain@얼룩
15@고교필수1200-(11/20)@loan@대부금
1@고교필수1200-(11/20)@embryo@(배아)태아
2@고교필수1200-(11/20)@fetus@태아
3@고교필수1200-(11/20)@elbow@팔꿈치
4@고교필수1200-(11/20)@flesh@살
5@고교필수1200-(11/20)@fiber@섬유질
6@고교필수1200-(11/20)@detergent@세제
7@고교필수1200-(11/20)@feast@축제
8@고교필수1200-(11/20)@expedition@탐험
9@고교필수1200-(11/20)@exception@예외
10@고교필수1200-(11/20)@portion@부분
11@고교필수1200-(11/20)@dignity@위엄
12@고교필수1200-(11/20)@finance@재정
13@고교필수1200-(11/20)@drill@연습
14@고교필수1200-(11/20)@screw@나사
15@고교필수1200-(11/20)@scoop@퍼내다, 국자
