1@필수구문-3@behind the times@시대에 뒤떨어진
2@필수구문-3@The old gentleman was behind the times.@그 노인은 시대에 뒤떨어졌다.
3@필수구문-3@be bound to@~하지 않을 수 없다, 틀림없이 ~하다
4@필수구문-3@Such a person is bound to get on in life.@그런 사람은 틀림없이 출세한다.
5@필수구문-3@break in@침입하다, 길들이다, 말참견하다
6@필수구문-3@Thieves broke in last night.@도둑들이 어젯밤에 침입하였다.
7@필수구문-3@break out@(갑자기)발생하다
8@필수구문-3@She was born in the year when the war broken out.@그녀는 전쟁이 나던 해에 태어났다.
9@필수구문-3@bring about@야기하다
10@필수구문-3@The accident was brought about by his carelessness.@그 사고는 그의 부주의로 일어났다.
11@필수구문-3@bring B home to A@A에게 B를 절실히 느끼게 하다
12@필수구문-3@Her death brought home to me the sorrow of life.@그녀의 죽음은 내게 인생의 슬픔을 절실히 느끼게 했다.
13@필수구문-3@burst into something@(갑자기) ~을 터뜨리다
14@필수구문-3@She burst into tears at the sad news.@그녀는 슬픈소식을 듣고 갑자기 눈물을 터뜨렸다.
15@필수구문-3@by accient@우연히 ~하다
16@필수구문-3@I met him by accident in New York.@나는 뉴욕에서 그를 우연히 만났다.
17@필수구문-3@by and by@곧
18@필수구문-3@By and by the cold winter will be over.@얼마 안 가서 추운 겨울이 끝날 것이다.
19@필수구문-3@by degrees@점진적으로
20@필수구문-3@Their friendship by degrees grew into love.@그들의 우정은 점차로 사랑으로 변하였다.
21@필수구문-3@by dint of@~에 의해서
22@필수구문-3@By dint of great effort he succeeded at last.@대단한 노력으로 그는 마침내 성공했다.
23@필수구문-3@by means of something@~의 도움으로, ~을 써서
24@필수구문-3@We climbed up the cliff by means of a rope.@우리는 밧줄을 써서 절벽을 올랐다.
25@필수구문-3@by way of@~을 경유하여
26@필수구문-3@I am going to Europe by way of America.@나는 미국을 경유하여 유럽에 갈 예정이다.
27@필수구문-3@She gave me a flower by way of apology.@그는 사과하는 의미로 꽃한송이를 주었다.
28@필수구문-3@by no means@결코
29@필수구문-3@He is by no means a liar.@그는 결코 거짓말쟁이가 아니다.
30@필수구문-3@by the way@그런데
31@필수구문-3@By the way,what is your address?@그런데 너의 주소는 어디니?
32@필수구문-3@call for something@~을 필요로 하다, 요구하다
33@필수구문-3@This crime calls for severe punishment.@이 범죄는 엄벌이 요구된다.
34@필수구문-3@call off@취소하다
35@필수구문-3@This game was called off on account of darkness.@그 경기는 어둠때문에 취소되었다.
36@필수구문-3@care for@( 주로 부정 의문문에서)좋아하다, 돌보다
37@필수구문-3@Everybody does not care for music.@모든 사람이 다 음악을 좋아하는 것은 아니다.
38@필수구문-3@carry on@계속하다
39@필수구문-3@She carried on scientific research with her husband.@그녀는 남편과 함께 과학 탐구를 계속했다.
40@필수구문-3@carry out@수행하다
41@필수구문-3@You must carry out the work for yourself.@너는 혼자힘으로 그 일을 수행하여야 한다.
42@필수구문-3@catch sight of@~을 찾아내다
43@필수구문-3@I caught sight of her small black hat.@나는 그녀의 작고 까만 모자를 발견했다.
44@필수구문-3@catch up with@따라가다, 따라잡다, 체포하다
45@필수구문-3@I ran as fast as possible to catch up with them.@나는 그들을 따라잡으려고 가능한한 빨리 뛰었다.
46@필수구문-3@close at hand@가까운 곳에, 쉽게 손닿는 곳에
47@필수구문-3@The examination is close at hand.@시험이 다가왔다.
48@필수구문-3@come about@발생하다
49@필수구문-3@Tell me how the accident came about.@그 사고가 어떻게 일어났는지 내게 말해다오.
50@필수구문-3@come across@~을 우연히 발견하다
51@필수구문-3@I came across an old photograph of my father.@우연히 아버지의 오랜 사진을 보았다.
52@필수구문-3@come by something@~을 얻다, ~을 받다
53@필수구문-3@Did he come by that money honestly?@그가 그돈을 정직하게 얻었느냐?
