961@중학교기초V-(2/5)@chairperson@의장[회장]
962@중학교기초V-(2/5)@customer@고객
963@중학교기초V-(2/5)@astronaut@우주 비행사
964@중학교기초V-(2/5)@dynasty@왕조
965@중학교기초V-(2/5)@dragon@용
966@중학교기초V-(2/5)@flea@벼룩
967@중학교기초V-(2/5)@greenhouse@온실
968@중학교기초V-(2/5)@landscape	@풍경(화)
969@중학교기초V-(2/5)@dirt@먼지, 때, 흙
970@중학교기초V-(2/5)@shot@발사, 던지기, 주사
971@중학교기초V-(2/5)@curve@곡선, 커브[굽이]
972@중학교기초V-(2/5)@stuff	@물건[재료], 채우다
973@중학교기초V-(2/5)@pack@짐(을 싸다), 상자
974@중학교기초V-(2/5)@spill@엎지르다
975@중학교기초V-(2/5)@debate@토론[논의](하다)
976@중학교기초V-(2/5)@whisper@속삭이다, 속삭임
977@중학교기초V-(2/5)@lay@눕히다, 놓다, 알을 낳다
978@중학교기초V-(2/5)@pardon@용서하다
979@중학교기초V-(2/5)@beg@간청하다, 구걸하다
980@중학교기초V-(2/5)@relate@관련되다[관련시키다]
981@중학교기초V-(2/5)@direct@직접(의), 지시하다
982@중학교기초V-(2/5)@intelligent@지능이 높은, 총명한
983@중학교기초V-(2/5)@eager	@열망하는
984@중학교기초V-(2/5)@disabled@장애가 있는
985@중학교기초V-(2/5)@homeless@집 없는
986@중학교기초V-(2/5)@harmful@해로운
987@중학교기초V-(2/5)@lifelong@평생의
988@중학교기초V-(2/5)@nearby@가까운[가까이]
989@중학교기초V-(2/5)@seldom@좀처럼~않는, 드물게
990@중학교기초V-(2/5)@somewhere@어딘가에[로]
991@중학교기초V-(2/5)@birth	@태어남, 출생
992@중학교기초V-(2/5)@childhood@어린 시절, 유년시절
993@중학교기초V-(2/5)@education	@교육
994@중학교기초V-(2/5)@emotion@감정
995@중학교기초V-(2/5)@attitude@태도
996@중학교기초V-(2/5)@courage@용기
997@중학교기초V-(2/5)@condition@(건강) 상태, 조건
998@중학교기초V-(2/5)@fever	@열, 열병
999@중학교기초V-(2/5)@conversation@대화
1000@중학교기초V-(2/5)@adventure@모험
1001@중학교기초V-(2/5)@triangle	@삼각형
1002@중학교기초V-(2/5)@bulb	@전구, 알뿌리[구근]
1003@중학교기초V-(2/5)@attack@공격(하다), 발작
1004@중학교기초V-(2/5)@cough@기침(하다)
1005@중학교기초V-(2/5)@flow	@흐르다, 흐름
1006@중학교기초V-(2/5)@search@찾다, 수색(하다)
1007@중학교기초V-(2/5)@original@원래의, 독창적인
1008@중학교기초V-(2/5)@opposite	@정반대의, 반대쪽의[에]
1009@중학교기초V-(2/5)@jog@조깅하다
1010@중학교기초V-(2/5)@scan@살펴보다, 스캔하다
1011@중학교기초V-(2/5)@describe@묘사[기술]하다
1012@중학교기초V-(2/5)@freeze@얼(리)다
1013@중학교기초V-(2/5)@remove@제거하다, 치우다
1014@중학교기초V-(2/5)@single@단 하나의, 독신의
1015@중학교기초V-(2/5)@positive@긍정적인
1016@중학교기초V-(2/5)@nervous@초조한, 신경의
1017@중학교기초V-(2/5)@ugly	@추한
1018@중학교기초V-(2/5)@northern@북쪽의
1019@중학교기초V-(2/5)@downtown	@도심지로[에]
1020@중학교기초V-(2/5)@actually	@실제로, 참으로
